Naam,Categorie,Mannen,Vrouwen,Totaal
Brand,woord,540,0,540
Broer,woord,456,3,459
Beer,woord,410,29,439
Bloem,woord,6,386,392
Bruin,woord,243,3,246
Bouwen,woord,93,3,96
Burger,woord,52,0,52
Bloesem,woord,0,37,37
Bron,woord,24,3,27
Boon,woord,16,3,19
Berg,woord,10,3,13
Bang,woord,9,3,12
Beek,woord,9,0,9
Bok,woord,6,3,9
Boer,woord,6,3,9
Baas,woord,6,0,6
Been,woord,5,0,5
Bel,woord,0,3,3
Bijl,woord,3,0,3
Boom,woord,3,0,3
Bank,woord,3,0,3
Bij,woord,3,3,6
Blauw,woord,3,3,6
Boek,woord,3,0,3
Bak,woord,3,0,3
Bord,woord,3,0,3
