Naam,Categorie,Mannen,Vrouwen,Totaal
Koop,woord,919,0,919
Kas,woord,865,3,868
Kin,woord,263,22,285
Kier,woord,126,0,126
Kei,woord,52,44,96
Kar,woord,44,41,85
Kam,woord,31,37,68
Klem,woord,23,0,23
Kant,woord,15,5,20
Kamer,woord,3,11,14
Kat,woord,3,8,11
Kast,woord,10,0,10
Kers,woord,6,3,9
Klein,woord,3,3,6
Keizer,woord,3,0,3
Kip,woord,3,0,3
Kop,woord,3,3,6
Koper,woord,3,0,3
Kaak,woord,3,0,3
Kauw,woord,3,0,3
Kern,woord,3,0,3
Ketel,woord,3,0,3
Kieuw,woord,0,3,3
Koek,woord,0,3,3
Koel,woord,0,3,3
Koers,woord,3,0,3
Koning,woord,3,0,3
Kool,woord,3,0,3
Korst,woord,3,0,3
Kort,woord,3,0,3
Kost,woord,3,0,3
Kraal,woord,0,3,3
Kroon,woord,3,0,3
Kruis,woord,3,0,3
Kuip,woord,3,0,3
Kunst,woord,3,0,3
