Name,Men,Women,Total
Anna,12613,263315,275928
Antonius,226625,2922,229547
Adriana,2286,191004,193290
Adrianus,176609,825,177434
Antonia,1390,118160,119550
Alexander,76096,214,76310
Anne,16919,57363,74282
Albertus,55197,279,55476
Albert,53988,244,54232
Adriaan,52262,114,52376
Alida,235,49660,49895
Arie,45730,53,45783
Andreas,35835,536,36371
Arnoldus,35757,413,36170
Aaltje,20,31961,31981
Agnes,2355,28875,31230
Antoinette,621,30179,30800
Aleida,322,27901,28223
Astrid,177,25291,25468
Anton,24428,139,24567
Antje,18,22676,22694
Alexandra,102,22315,22417
Anita,296,21471,21767
Anouk,73,21693,21766
André,19624,182,19806
Anthonius,19623,113,19736
Abraham,19017,39,19056
Arend,18393,16,18409
Andrea,343,17763,18106
Andries,17247,33,17280
Antonie,16591,626,17217
Agatha,179,16838,17017
Amber,23,16948,16971
Antonetta,436,16033,16469
Angela,195,15584,15779
Angelique,148,13646,13794
Arnold,13119,149,13268
Aart,13029,12,13041
Antoon,12730,123,12853
Alberta,82,12532,12614
Arthur,12347,192,12539
Anthony,12320,99,12419
Annemarie,142,12216,12358
Arjan,12277,31,12308
Arnolda,119,11359,11478
Anneke,31,11422,11453
Anthonia,34,11234,11268
Aloysius,10968,236,11204
Allegonda,523,10512,11035
Annette,123,10598,10721
Alberdina,91,10587,10678
Annie,309,10315,10624
Augustinus,10423,179,10602
Antoinetta,344,10114,10458
Anthonie,10003,143,10146
Alex,9660,242,9902
Anja,106,9735,9841
Alice,156,9266,9422
Amy,7,9019,9026
Ali,6703,2149,8852
Alphonsus,8280,197,8477
Arjen,8241,14,8255
Annemieke,12,8080,8092
Alfred,7674,97,7771
Angelina,299,7105,7404
Antoine,7039,262,7301
Adam,7241,43,7284
Albertha,25,7080,7105
Annigje,5,6573,6578
Auke,6153,303,6456
Anke,35,6350,6385
Amanda,35,6319,6354
Aukje,9,6139,6148
Annelies,68,6053,6121
Aartje,7,6036,6043
Albertina,58,5909,5967
Ashley,277,5455,5732
August,5564,132,5696
Arno,5262,75,5337
Aldegonda,532,4590,5122
Aafke,3,4970,4973
Apolonia,53,4905,4958
Aletta,15,4869,4884
Afra,29,4853,4882
Albertine,17,4796,4813
Arnoldina,130,4560,4690
Arnoud,4666,21,4687
Angelo,4573,54,4627
Abel,4615,9,4624
Adriaantje,6,4555,4561
Alphons,4245,260,4505
Aimée,13,4434,4447
Antonio,4292,67,4359
Augusta,152,4177,4329
Alicia,3,4185,4188
Ardina,211,3923,4134
Aagje,3,4058,4061
Arendina,3,3928,3931
Alfons,3659,222,3881
Aron,3850,7,3857
Adolf,3657,42,3699
Annemiek,15,3625,3640
Augustina,49,3531,3580
Angélique,11,3567,3578
Albertje,8,3524,3532
Aaron,3507,3,3510
Alie,71,3275,3346
Akke,24,3247,3271
Aniek,7,3215,3222
Anje,9,3200,3209
Arina,5,3204,3209
Ahmed,2822,364,3186
Annechien,6,3071,3077
Annet,23,3036,3059
Annabel,6,3009,3015
Ann,44,2968,3012
Aafje,6,2852,2858
Alyssa,3,2792,2795
Andy,2704,44,2748
Armand,2652,61,2713
Anne-Marie,84,2582,2666
Ada,25,2555,2580
Annika,3,2573,2576
