Name,Men,Women,Total
Bernardus,78542,468,79010
Bart,30738,91,30829
Bastiaan,29054,50,29104
Benjamin,28340,110,28450
Barbara,1456,25760,27216
Bianca,230,24941,25171
Berendina,109,24845,24954
Bram,23644,25,23669
Berend,21934,12,21946
Bas,20480,36,20516
Bernard,20323,104,20427
Bernadette,267,15859,16126
Bernardina,239,15345,15584
Britt,22,11493,11515
Bartholomeus,10665,125,10790
Brigitte,139,10411,10550
Bertha,309,10213,10522
Bob,10107,28,10135
Brian,8451,25,8476
Brenda,24,7674,7698
Bertus,7630,13,7643
Barend,6797,7,6804
Boudewijn,6362,14,6376
Bente,100,6170,6270
Bernarda,25,6158,6183
Bert,5980,51,6031
Bernhard,5778,21,5799
Beatrix,161,5579,5740
Björn,5655,21,5676
Bjorn,5451,43,5494
Bryan,5370,9,5379
Brigitta,93,5285,5378
Ben,5213,50,5263
Berdina,93,4947,5040
Beau,2472,2368,4840
Boaz,4584,3,4587
Baukje,3,4535,4538
Barry,4482,46,4528
Boris,4402,3,4405
Benthe,13,3854,3867
Bauke,3411,163,3574
Belinda,21,3477,3498
Babette,3,3396,3399
Brent,2711,0,2711
Brandon,2615,3,2618
Bouke,2381,192,2573
Bilal,2546,8,2554
Boy,2530,19,2549
Bastiaantje,3,2500,2503
Barbera,12,2485,2497
Boukje,6,2452,2458
Barendina,3,2219,2222
Bastiana,8,2214,2222
Bibi,6,2144,2150
Bregje,5,2108,2113
Birgit,10,2088,2098
Berry,2008,78,2086
Bertina,46,1966,2012
Birgitta,15,1986,2001
Benedictus,1955,28,1983
Bradley,1939,3,1942
Bruno,1801,11,1812
Bernardine,30,1747,1777
Berber,12,1751,1763
Bertine,12,1748,1760
Bobby,1478,272,1750
Baptist,1613,29,1642
Bernadina,33,1517,1550
Bettina,15,1397,1412
Barteld,1333,3,1336
Burak,1305,3,1308
Bennie,1273,24,1297
Bea,18,1256,1274
Bouwe,1270,3,1273
Beatrice,8,1259,1267
Betty,17,1240,1257
Bernice,5,1234,1239
Benny,1178,33,1211
Bartha,3,1186,1189
Bruce,1180,6,1186
Benno,1181,3,1184
Bernd,1156,8,1164
Boyd,1150,3,1153
Brechtje,3,1146,1149
Beatrijs,8,1076,1084
Bouwina,0,1048,1048
Bernadetta,14,1028,1042
Bodhi,853,85,938
Belle,3,911,914
Berendje,3,882,885
Birgitte,3,878,881
Bonne,814,55,869
Bernadet,8,828,836
Babet,3,830,833
Bonnie,28,800,828
Bartel,817,3,820
Bartus,817,3,820
Betül,0,818,818
Belia,3,810,813
Berta,10,799,809
Bernardo,780,16,796
Bobbie,314,479,793
Beyza,0,792,792
Brigit,13,777,790
Berat,778,11,789
Betsy,3,780,783
Berndina,5,766,771
Bella,3,757,760
Babs,3,751,754
Bartje,207,534,741
Berdien,3,726,729
Brecht,180,541,721
Bridget,3,714,717
Boet,706,3,709
Bastian,698,3,701
Berkay,691,0,691
Britney,0,684,684
Balthazar,660,15,675
Bonifacius,656,9,665
Berthe,11,653,664
Brendan,649,3,652
Betje,3,639,642
Brahim,630,3,633
Bjarne,602,5,607
Bonita,3,604,607
Batuhan,603,0,603
Büşra,0,594,594
Bouchra,0,582,582
Bartholomea,9,571,580
Billy,488,83,571
Baran,553,17,570
Brett,530,39,569
Bobbi,17,547,564
Beitske,0,554,554
Brechje,3,542,545
Badr,537,3,540
Britta,3,529,532
Bentley,504,24,528
Bent,493,23,516
Bregtje,0,511,511
Benito,501,3,504
Boas,500,3,503
Bodine,3,499,502
Bernadine,5,496,501
Boudina,3,496,499
Bareld,487,3,490
Bastianus,482,0,482
Beertje,3,480,483
Bahar,3,476,479
Bink,473,6,479
Bertram,472,0,472
Boele,461,3,464
Berna,0,454,454
Bodil,14,440,454
Bonny,27,426,453
Bernhardus,451,3,454
Britte,3,450,453
Berdine,3,431,434
Bote,432,3,435
Bregitta,0,432,432
Baptista,202,224,426
Betsie,7,419,426
Bertil,419,3,422
Beert,420,0,420
Benedicta,7,409,416
Bartele,406,3,409
Bettine,3,404,407
Blanche,16,389,405
Bart-Jan,400,0,400
Bontje,15,385,400
Barta,3,388,391
Binne,388,3,391
Bowie,280,105,385
Beate,6,374,380
Bonifatius,369,5,374
Bekir,373,0,373
Bjørn,361,3,364
Beaudine,0,357,357
Berlinda,0,355,355
Bertie,167,187,354
Benita,0,343,343
Bariş,338,3,341
Bodi,308,25,333
Branco,328,3,331
Billie,89,240,329
Burcu,0,328,328
Berendine,3,316,319
Bernardinus,316,3,319
Barthold,313,3,316
Bing,295,15,310
Benedict,285,20,305
Balthasar,300,3,303
Branko,298,3,301
Bertrand,287,8,295
Bernhardina,3,290,293
Bonaventura,186,104,290
Berfin,0,289,289
Berthus,287,3,290
Brend,288,0,288
Brooklyn,144,144,288
Brandina,0,287,287
Bayram,285,3,288
Binck,280,0,280
Bionda,3,277,280
Buse,0,278,278
Bert-Jan,277,0,277
Blanca,6,264,270
Berit,3,267,270
Breunis,269,0,269
Beata,6,261,267
Baptiste,238,28,266
Bardina,3,265,268
Baltus,265,0,265
Bernhardine,3,262,265
Bessel,260,3,263
Bünyamin,263,0,263
Berthold,259,0,259
Bep,57,199,256
Berkan,255,0,255
Brigida,22,229,251
Bor,250,0,250
Berk,242,5,247
Benyamin,244,0,244
Brittany,0,244,244
Bibiana,3,238,241
Buddy,237,3,240
Byron,238,3,241
Bernardette,3,234,237
Basma,0,234,234
Berke,228,6,234
Badreddine,233,0,233
Berra,3,227,230
Bryce,210,14,224
Bailey,103,118,221
Benedicte,3,220,223
Bette,3,215,218
Berendien,3,215,218
Bono,209,3,212
Boudewina,0,211,211
Bonno,208,0,208
Bartina,0,205,205
Barthelomeus,198,6,204
Basilius,200,3,203
Bene,201,3,204
Borre,198,3,201
Bowen,185,10,195
Bibian,5,189,194
Bieke,3,191,194
Belinay,0,190,190
Bosco,177,12,189
Bregina,0,189,189
Bavo,177,9,186
Bendina,5,181,186
Beryl,9,176,185
Bettie,3,179,182
Brit,5,178,183
Burhan,183,0,183
Bertinus,181,3,184
Boelo,182,0,182
Bowien,0,182,182
Bülent,181,0,181
Benne,165,15,180
Buşra,0,180,180
Bianka,3,178,181
Bruining,179,0,179
Bao,102,76,178
Beppie,3,175,178
Berthina,3,176,179
Barbra,3,170,173
Brandy,25,147,172
Bora,158,12,170
Brunhilde,5,165,170
Bartelina,3,162,165
Benji,162,3,165
Berbera,0,165,165
Banu,3,163,166
Benja,132,32,164
Brugt,164,0,164
Bernie,134,28,162
Béatrice,3,158,161
Benjamina,0,160,160
Brianna,0,160,160
Bastien,154,3,157
Bedirhan,158,0,158
Berrie,147,11,158
Bloeme,0,157,157
Bertien,20,136,156
Blue,51,104,155
Bindert,153,0,153
Brain,153,0,153
Bengt,148,3,151
Bojoura,0,149,149
Bouktje,0,149,149
Brad,148,3,151
