Name,Men,Women,Total
Cornelis,352739,1191,353930
Cornelia,3224,295074,298298
Catharina,10607,231454,242061
Christina,1801,99129,100930
Christiaan,75576,410,75986
Carolina,490,29965,30455
Charlotte,94,29276,29370
Chantal,212,25109,25321
Caroline,107,20285,20392
Cornelius,20033,214,20247
Christine,167,18933,19100
Christian,18501,312,18813
Claudia,144,16398,16542
Christianus,16248,100,16348
Clasina,189,15096,15285
Carla,85,13637,13722
Carolus,13255,221,13476
Casper,12581,58,12639
Cecilia,354,11760,12114
Clara,498,10726,11224
Cindy,132,10292,10424
Charles,10051,153,10204
Clemens,8665,407,9072
Carmen,51,8895,8946
Carola,71,7903,7974
Cynthia,24,7222,7246
Cas,7127,7,7134
Chris,6587,534,7121
Cornelus,5880,68,5948
Carel,5535,10,5545
Carolien,48,5401,5449
Coenraad,5292,28,5320
Corine,15,5207,5222
Clazina,37,5132,5169
Carlijn,5,5101,5106
Claire,51,4987,5038
Coen,4912,18,4930
Christoffel,4765,66,4831
Corina,32,4771,4803
Constance,68,4705,4773
Christel,73,4534,4607
Celine,23,4406,4429
Colin,4186,8,4194
Catherina,173,3707,3880
Carlo,3843,35,3878
Cato,78,3729,3807
Caspar,3515,90,3605
Constantijn,3519,5,3524
Christopher,3509,3,3512
Cheyenne,47,3286,3333
Christiana,34,3248,3282
Corné,3165,40,3205
Christa,15,3119,3134
Carina,39,3028,3067
Carl,2992,22,3014
Catharinus,2977,3,2980
Charissa,3,2775,2778
Collin,2647,9,2656
Catherine,43,2484,2527
Clementine,56,2458,2514
Catharine,86,2380,2466
Clementina,59,2243,2302
Corinne,7,2226,2233
Chloë,3,2228,2231
Camiel,2154,46,2200
Céline,14,2186,2200
Carlos,2172,15,2187
Cecile,117,2055,2172
Chiara,9,2138,2147
Caecilia,60,2077,2137
Celina,85,1992,2077
Cees,1977,42,2019
Chiel,1995,3,1998
Coleta,273,1689,1962
Constant,1898,51,1949
Celeste,24,1905,1929
Corrie,91,1832,1923
Caitlin,3,1907,1910
Can,1859,25,1884
Christien,37,1844,1881
Charlie,931,939,1870
Chelsea,14,1803,1817
Calvin,1732,0,1732
Chayenne,11,1718,1729
Cornelie,12,1699,1711
Cécile,50,1645,1695
Cora,8,1654,1662
Christianne,35,1592,1627
Cathelijne,3,1541,1544
Conny,36,1404,1440
Corstiaan,1404,3,1407
Colette,24,1376,1400
Chanel,11,1380,1391
Chloé,0,1351,1351
Cheryl,17,1327,1344
Cor,1271,71,1342
Christiane,19,1228,1247
Ciska,5,1234,1239
Cristina,20,1200,1220
Corry,60,1156,1216
Cassandra,3,1205,1208
Camille,605,590,1195
Constantinus,1151,22,1173
Colinda,5,1158,1163
Catrina,15,1113,1128
Constantia,29,1077,1106
Chelsey,5,1085,1090
Cunera,33,1026,1059
Celia,3,1042,1045
Conrad,950,16,966
Chi,621,343,964
Clement,942,19,961
Christinus,943,3,946
Cornélie,3,889,892
Coco,27,854,881
Cedric,869,3,872
Carine,10,848,858
Camilla,11,834,845
Charlene,3,836,839
Carol,384,451,835
Chaima,0,812,812
Christy,16,759,775
Cem,749,8,757
Carin,25,727,752
Coenradus,740,9,749
Cathérine,23,707,730
Charmaine,3,705,708
Chantalle,29,676,705
Clarissa,3,700,703
Casparus,688,6,694
Claudine,11,681,692
Cristian,681,8,689
Cleo,19,667,686
Connor,665,11,676
Cyril,591,82,673
Caro,42,629,671
Cathalina,3,664,667
Charlotta,3,663,666
Corneel,636,26,662
Christoph,654,3,657
Ceylin,0,654,654
Cinderella,9,637,646
Carice,0,637,637
Chaimae,0,631,631
Cathy,5,625,630
Chimène,0,608,608
Coby,21,582,603
Catrinus,599,3,602
Caitlyn,0,589,589
Corien,3,587,590
Chun,548,40,588
