Name,Men,Women,Total
Dirk,71748,57,71805
Daniël,45986,185,46171
Dennis,39795,116,39911
David,31283,91,31374
Daan,26441,259,26700
Daniëlle,114,26501,26615
Danny,18119,465,18584
Dirkje,46,18135,18181
Diana,203,17912,18115
Denise,63,15993,16056
Dorothea,366,14749,15115
Dina,72,14268,14340
Daphne,10,13030,13040
Derk,12764,12,12776
Dylan,12163,37,12200
Dominique,3215,8314,11529
Demi,306,10657,10963
Deborah,46,9925,9971
Douwe,8959,6,8965
Daniel,8852,58,8910
Danique,157,8387,8544
Damian,7644,7,7651
Dave,7449,60,7509
Dick,7078,22,7100
Désirée,36,6229,6265
Daisy,49,5889,5938
Dean,5795,37,5832
Dion,5537,276,5813
Dani,4601,824,5425
Debora,15,5366,5381
Diederik,5303,7,5310
Desirée,42,4958,5000
Danielle,20,4793,4813
Dominicus,4662,92,4754
Davy,4391,48,4439
Dewi,104,3962,4066
Debby,23,3895,3918
Delano,3433,9,3442
Debbie,23,3378,3401
Dorien,21,3375,3396
Desiree,43,3324,3367
Dana,38,3181,3219
Diane,20,3103,3123
Davey,3032,14,3046
Dimitri,2952,10,2962
Dingena,48,2886,2934
Divera,13,2921,2934
Dieuwke,5,2884,2889
Duncan,2859,3,2862
Dex,2796,6,2802
Daniëlla,19,2764,2783
Dimphna,127,2624,2751
Dagmar,135,2583,2718
Dinand,2575,3,2578
Dingeman,2520,12,2532
Donna,3,2514,2517
Dymphna,119,2383,2502
Dylano,2445,3,2448
Dianne,10,2398,2408
Diego,2227,3,2230
Derkje,6,2136,2142
Dieuwertje,3,2117,2120
Dionne,19,2094,2113
Dorine,13,2055,2068
Dora,21,2012,2033
Donny,2009,17,2026
Deniz,1486,380,1866
Dominic,1771,64,1835
Diede,443,1336,1779
Donald,1740,8,1748
Durk,1726,0,1726
Destiny,30,1556,1586
Dimphina,86,1486,1572
Dimphena,64,1411,1475
Duco,1470,3,1473
Dries,1462,3,1465
Daniek,108,1351,1459
Dilara,0,1420,1420
Devi,191,1206,1397
Desiré,345,1047,1392
Don,1353,17,1370
Dante,1195,133,1328
Dian,103,1183,1286
Dionysius,1242,42,1284
Doris,126,1152,1278
Duuk,1264,0,1264
Devin,1218,12,1230
Denny,1175,41,1216
Dinant,1215,3,1218
Dymphina,89,1116,1205
Diederick,1185,3,1188
Dorus,1144,29,1173
Denzel,1157,0,1157
Demy,405,730,1135
Daley,1103,26,1129
Denis,1098,28,1126
Donovan,1123,0,1123
Doortje,3,1117,1120
Damiën,1112,3,1115
Dorothé,26,1085,1111
Dyon,1061,47,1108
Daantje,58,1047,1105
Dionisius,1033,40,1073
Dirk-Jan,1054,0,1054
Dounia,3,1038,1041
Didier,979,16,995
Dineke,3,990,993
Désiré,359,617,976
Dolf,933,7,940
Danilo,923,3,926
Derek,916,3,919
Daniella,9,878,887
Diena,3,885,888
Dennie,862,17,879
Dustin,873,3,876
Dorothée,3,868,871
Dolores,3,859,862
Diny,17,842,859
Dominica,6,851,857
Davina,3,851,854
Demian,836,3,839
Denice,3,826,829
Damien,808,6,814
Desmond,787,3,790
Dieke,7,780,787
Dorian,638,146,784
Derya,15,748,763
Devon,703,59,762
Damon,760,3,763
Didi,32,729,761
Doreen,3,750,753
Doeke,719,7,726
Daniëla,5,717,722
Dorothy,3,719,722
Dilan,287,428,715
Danisha,3,707,710
Dwayne,701,3,704
Dario,680,0,680
Doetje,3,673,676
Doede,653,3,656
Digna,19,634,653
Dieter,624,24,648
Daimy,154,465,619
Desley,552,52,604
Dini,9,590,599
Dwight,599,0,599
Djayden,594,3,597
Désiree,3,588,591
Dorathea,10,570,580
Dicky,184,395,579
Dingenis,575,0,575
Dunja,8,565,573
Douwina,3,565,568
Darryl,547,3,550
Doutzen,8,538,546
Delilah,3,544,547
Dunya,3,540,543
Dilano,533,3,536
Deliana,3,531,534
Dilek,3,525,528
Dexter,520,3,523
Dorina,18,490,508
Diederika,0,498,498
Dax,489,8,497
Django,495,3,498
Djurre,493,0,493
Delia,3,486,489
Dewy,30,451,481
Douglas,470,7,477
Durkje,0,476,476
Daniela,3,466,469
Deirdre,0,470,470
Dingenus,463,3,466
Dieudonné,375,89,464
Diya,14,446,460
Darren,457,3,460
Dide,21,432,453
Dayenne,3,448,451
Dane,410,39,449
Dione,9,435,444
Djenna,0,443,443
Damin,440,0,440
Dientje,3,439,442
Dinie,3,435,438
Diëgo,435,3,438
Damianus,429,5,434
Damla,0,427,427
Driesje,3,420,423
Desi,32,385,417
Djoeke,8,408,416
Dyonne,6,404,410
Derkina,0,404,404
Donata,3,401,404
Dylana,0,403,403
Donatus,381,9,390
Dimphy,12,376,388
Demelza,0,387,387
Ditte,3,380,383
Dimitry,375,3,378
Defne,0,377,377
Dino,372,3,375
Dawn,12,357,369
Deveny,5,361,366
Diliana,9,354,363
Dorethea,30,331,361
Dieneke,0,358,358
Delphine,7,348,355
Djamilla,3,353,356
Danté,340,13,353
Dominggus,352,0,352
Dinesh,350,3,353
Dorotheus,346,3,349
Dijmphna,19,327,346
Damaris,3,340,343
Devika,0,342,342
Donja,5,337,342
Dieudonnée,8,333,341
Danae,5,331,336
Dafne,0,332,332
Duygu,0,332,332
Dorinda,3,325,328
Dignus,322,0,322
Duvera,3,320,323
Dirksje,0,321,321
Dan,262,58,320
Daryl,296,22,318
Deveney,7,302,309
Duke,296,7,303
Dymphena,14,286,300
Dien,116,182,298
Dorothee,3,296,299
Desteny,6,291,297
Dominick,291,6,297
Dany,234,62,296
Dionysia,3,291,294
Daatje,0,292,292
Darius,290,0,290
Davida,3,289,292
Dik,284,3,287
Damy,241,39,280
Dakota,36,242,278
Délano,274,0,274
Dilana,0,273,273
Danitsja,0,267,267
Damiaan,263,3,266
Deon,261,3,264
Dikra,0,265,265
Diewertje,3,263,266
Dalila,3,260,263
Dinah,3,261,264
Divano,258,0,258
Diantha,3,256,259
Dolly,3,256,259
Dania,3,255,258
Dénise,3,252,255
Dorette,0,252,252
Davi,244,7,251
Deen,248,3,251
Domenica,0,250,250
Davide,196,49,245
Desiderius,231,13,244
Dieuwerke,0,243,243
Devlin,230,11,241
Diderik,240,0,240
Diderika,0,239,239
Dena,3,236,239
Djordy,235,3,238
Detje,0,237,237
Dirkjan,234,3,237
Dila,0,233,233
Devano,229,0,229
Diégo,229,0,229
Ditta,3,227,230
Dolinda,3,227,230
Daaf,225,3,228
Darnell,224,3,227
Derrick,226,0,226
Driss,224,3,227
Dané,19,206,225
Dico,222,3,225
Djamila,3,223,226
Djim,219,3,222
Dita,3,217,220
Domenico,215,3,218
Douae,0,215,215
Danley,214,0,214
Dejan,214,0,214
Djay,206,8,214
Dano,213,0,213
Derkjen,3,211,214
Diaz,163,47,210
Damiano,207,3,210
Declan,206,0,206
Demet,0,206,206
Dyanne,3,205,208
Dilâra,0,204,204
Devran,197,3,200
Danica,3,197,200
Dine,41,158,199
Drewes,195,3,198
Delphina,17,178,195
Deacon,194,0,194
Dyan,85,108,193
Derktje,3,191,194
Domingo,184,7,191
Dominiek,104,87,191
Dara,42,148,190
Dirkina,0,189,189
Dalia,0,187,187
Danaé,5,182,187
Diewerke,3,186,189
Denley,186,0,186
Duran,180,6,186
Damion,184,3,187
Day,30,155,185
Dorenda,3,184,187
Danee,3,181,184
Dilay,3,182,185
Dietrich,176,6,182
Duane,182,0,182
Darwin,178,3,181
Dilia,5,174,179
Dimitrios,177,0,177
Dinja,0,176,176
