Name,Men,Women,Total
Elisabeth,16536,293952,310488
Elizabeth,990,67576,68566
Esther,185,41416,41601
Erik,34811,97,34908
Eva,116,31340,31456
Emma,300,29547,29847
Eduard,27973,327,28300
Edwin,26792,73,26865
Evert,24519,29,24548
Eric,23152,126,23278
Elise,408,22466,22874
Ellen,116,22417,22533
Eline,12,19740,19752
Erwin,18355,93,18448
Everdina,167,17908,18075
Elisa,1100,14510,15610
Engelina,143,13310,13453
Egbert,13349,19,13368
Eveline,70,12140,12210
Esmee,3,10726,10729
Evelien,38,10259,10297
Edward,9886,37,9923
Esmée,3,8015,8018
Eleonora,128,7778,7906
Everardus,7729,47,7776
Ernst,7616,20,7636
Edith,87,7446,7533
Evi,3,7363,7366
Emile,6660,342,7002
Emiel,6749,121,6870
Eliza,1721,5023,6744
Esmeralda,18,5681,5699
Emily,10,5527,5537
Elly,58,5157,5215
Erica,22,5123,5145
Emanuel,4949,194,5143
Elena,19,5013,5032
Engelbertus,4849,28,4877
Elias,4813,26,4839
Elin,25,4730,4755
Ella,23,4725,4748
Eduardus,4527,133,4660
Elsje,3,4593,4596
Erna,62,4522,4584
Eddy,4452,79,4531
Elvira,78,4378,4456
Elize,103,4313,4416
Emilie,36,4166,4202
Eugène,3866,174,4040
Evy,3,3768,3771
Evertje,6,3524,3530
Egbertus,3514,15,3529
Ester,22,3480,3502
Eelco,3406,3,3409
Egidius,3034,231,3265
Egberdina,10,3247,3257
Else,44,3203,3247
Eugenie,85,3074,3159
Emmy,47,3084,3131
Everhardus,2796,11,2807
Edgar,2786,8,2794
Evelyn,17,2713,2730
Els,48,2614,2662
Emre,2637,3,2640
Elif,3,2632,2635
Emilia,67,2552,2619
Euphemia,27,2571,2598
Emmanuel,2400,178,2578
Ezra,2154,419,2573
Elke,19,2549,2568
Eefje,6,2537,2543
Elske,3,2496,2499
Erika,17,2452,2469
Esra,148,2254,2402
Etienne,2251,116,2367
Elsa,29,2278,2307
Ellis,112,2134,2246
Eleonore,21,2216,2237
Ernest,2169,47,2216
Enrico,2144,7,2151
Eelke,1842,287,2129
Ewout,2101,0,2101
Elbert,2057,9,2066
Evelina,20,1999,2019
Engelbert,1914,34,1948
Elijah,1903,41,1944
Ewoud,1859,3,1862
Emil,1796,8,1804
Evan,1717,11,1728
Elina,5,1622,1627
Elles,26,1598,1624
Emir,1604,3,1607
Everarda,11,1574,1585
Evie,3,1568,1571
Estelle,3,1527,1530
Edmond,1424,62,1486
Elaine,3,1464,1467
Ewald,1394,11,1405
Edo,1394,3,1397
Engbert,1318,3,1321
Eelkje,3,1311,1314
Elsbeth,3,1286,1289
Enzo,1254,3,1257
Emerentia,37,1210,1247
Engeltje,3,1229,1232
Eli,1152,66,1218
Enes,1183,3,1186
Esma,0,1182,1182
Eren,1173,8,1181
Ernestine,7,1173,1180
Elle,157,997,1154
Emine,3,1137,1140
Elianne,3,1131,1134
Evita,0,1117,1117
Elfriede,12,1101,1113
Esmé,11,1096,1107
Esmay,3,1105,1108
Elbertus,1089,3,1092
Eef,305,754,1059
Efe,1039,11,1050
Eugenius,1013,22,1035
Eileen,3,1022,1025
Emelie,39,985,1024
Elroy,1015,3,1018
Engelberta,3,996,999
Eltje,379,620,999
Emin,970,3,973
Emerentiana,12,953,965
Elza,76,867,943
Elia,673,260,933
Egberta,3,926,929
