Name,Men,Women,Total
Franciscus,167807,2736,170543
Francisca,870,80261,81131
Frederik,50106,117,50223
Frank,31685,180,31865
Frans,27590,217,27807
Femke,29,20654,20683
Frederika,73,20065,20138
Fleur,12,19579,19591
Francina,174,19196,19370
Ferdinand,17979,164,18143
Floris,16637,7,16644
Floor,635,10614,11249
Finn,10680,135,10815
Fenna,3,10318,10321
Fredericus,7864,54,7918
Francis,3145,4599,7744
Fabian,7341,14,7355
François,6956,134,7090
Frederikus,6636,32,6668
Frits,6360,30,6390
Froukje,6,6101,6107
Felix,5229,97,5326
Frederique,111,4919,5030
Feline,3,4809,4812
Freddy,4140,80,4220
Florian,4161,56,4217
Fay,12,4071,4083
Fatima,7,4004,4011
Fenne,49,3905,3954
Frederica,37,3803,3840
Folkert,3798,3,3801
Fedde,3754,6,3760
Freek,3742,7,3749
Françoise,32,3599,3631
Floortje,3,3554,3557
Felicia,6,3441,3447
Franciska,28,3352,3380
Fokke,3351,5,3356
Ferry,3316,31,3347
Frederike,3,3084,3087
Florence,73,2960,3033
Franklin,2900,13,2913
Fabiënne,17,2874,2891
Freerk,2781,0,2781
Faye,5,2775,2780
Fredrik,2777,3,2780
Friso,2680,0,2680
Francine,37,2619,2656
Fien,12,2579,2591
Fiene,3,2533,2536
Frédérique,52,2483,2535
Femmigje,3,2343,2346
Frieda,18,2321,2339
Fiona,3,2305,2308
Fredrika,3,2201,2204
Fabienne,12,2174,2186
Flora,9,2043,2052
Famke,0,2015,2015
Fokje,0,2012,2012
Fatma,3,1960,1963
Ferdinandus,1882,26,1908
Francien,30,1758,1788
Francesca,8,1753,1761
Friedrich,1684,6,1690
Frederieke,3,1665,1668
Fokko,1617,3,1620
Fred,1593,21,1614
Florine,3,1593,1596
Faith,26,1548,1574
Francesco,1473,56,1529
Francisco,1490,32,1522
Féline,0,1512,1512
Fernando,1485,11,1496
Farah,34,1442,1476
Frances,96,1368,1464
Feike,1349,110,1459
Fatih,1416,3,1419
Frederick,1393,12,1405
Fréderique,23,1365,1388
Fem,3,1342,1345
Furkan,1282,0,1282
Fransiscus,1201,36,1237
Fieke,3,1193,1196
Ferdi,1130,14,1144
Franka,6,1134,1140
Florentina,57,1074,1131
Frederiek,24,1063,1087
Franz,1066,9,1075
Florentine,10,1061,1071
Foppe,1069,3,1072
Feikje,3,1002,1005
Frouke,18,980,998
Felice,63,933,996
Fransisca,8,960,968
Frida,13,953,966
Femia,3,943,946
Fennigje,0,943,943
Fernanda,3,912,915
Flore,6,910,916
Filippus,908,3,911
Fabio,906,3,909
Fransina,3,907,910
Faas,884,3,887
Filip,875,3,878
Fynn,829,29,858
Fennechien,3,837,840
Ferdinanda,3,834,837
Fons,827,9,836
Florien,3,827,830
Fanny,8,787,795
Florus,761,3,764
Fouad,749,11,760
Francijna,12,712,724
Frederic,706,15,721
Frouwke,0,717,717
Foekje,0,712,712
Femmy,3,700,703
Freya,3,685,688
Freddie,636,39,675
Florentius,659,13,672
Fransje,29,637,666
Fenny,3,655,658
Febe,36,613,649
Fredrikus,646,0,646
Flynn,594,40,634
Ferdy,619,11,630
Faya,0,623,623
Franciskus,610,7,617
Falco,608,3,611
Faruk,596,3,599
Fabiola,6,570,576
Flip,571,3,574
Frédéric,568,7,575
Franziska,3,566,569
Fedor,563,3,566
Ferre,550,12,562
Floyd,553,9,562
Franke,511,49,560
Fardau,3,555,558
Francois,538,16,554
Franca,6,542,548
Felicity,0,547,547
Fayenne,0,523,523
Fenneke,0,514,514
Farid,488,10,498
Ferhat,492,3,495
Fitzgerald,486,5,491
Farida,3,484,487
