Name,Men,Women,Total
Gerardus,228665,3963,232628
Gerrit,102026,68,102094
Geertruida,524,92229,92753
Gerarda,825,86588,87413
Gerard,45817,269,46086
Gertruda,3776,34025,37801
Grietje,10,31182,31192
Geertje,20,27313,27333
Geert,25502,66,25568
Gerhardus,25494,36,25530
Gijsbertus,22708,86,22794
Gerda,113,19663,19776
Gerdina,295,16428,16723
Gerritje,30,15704,15734
Gijs,14163,26,14189
Gijsbert,14134,22,14156
George,13453,188,13641
Gertrudis,4307,8055,12362
Gezina,35,11911,11946
Gerritdina,10,11892,11902
Godefridus,11309,215,11524
Gerardina,143,11201,11344
Gemma,1189,8579,9768
Geertruda,351,9185,9536
Gerhard,9424,12,9436
Gesina,49,9021,9070
Gerben,8707,8,8715
Guido,8455,118,8573
Gerharda,23,8541,8564
Geesje,7,7662,7669
Grada,46,7481,7527
Guus,7066,113,7179
Gijsbertha,19,6706,6725
Gijsberta,31,6511,6542
Giovanni,5743,45,5788
Gabriëlle,44,5594,5638
Gabriël,5337,285,5622
Godefrida,73,5069,5142
Guillaume,4453,428,4881
Glenn,4847,30,4877
Gert,4785,12,4797
Gertrude,152,4553,4705
Gerrie,292,3958,4250
Gustaaf,3964,110,4074
Goverdina,123,3614,3737
Guusje,11,3401,3412
Geeske,3,3347,3350
Gabriëlla,21,3262,3283
Gerrigje,5,3171,3176
Geraldine,16,3088,3104
Gradus,3033,27,3060
Geertrui,8,3007,3015
Govert,2911,10,2921
Gino,2869,19,2888
Godfried,2785,93,2878
Greta,18,2851,2869
Geziena,11,2857,2868
Gregorius,2775,49,2824
Gideon,2766,3,2769
Gertrud,254,2290,2544
Gretha,7,2503,2510
Gwen,81,2418,2499
Geerdina,56,2401,2457
Greetje,3,2369,2372
Gertjan,2363,3,2366
Gerald,2254,5,2259
Gijsberdina,50,2152,2202
Grace,17,2157,2174
Gertruida,94,2079,2173
Gaby,218,1935,2153
Gina,20,2105,2125
Geurt,2121,3,2124
Giel,2043,14,2057
Germaine,221,1704,1925
Geessien,3,1895,1898
Gea,3,1895,1898
Gert-Jan,1885,3,1888
Gerry,208,1680,1888
Gabrielle,34,1820,1854
Gerwin,1722,8,1730
Georgette,24,1690,1714
Gabriel,1637,72,1709
Georgina,3,1668,1671
Gilbert,1638,25,1663
Gregory,1654,6,1660
Gilles,1633,22,1655
Ghislaine,76,1571,1647
Gwendolyn,6,1633,1639
Gerbrand,1588,0,1588
Gezinus,1564,0,1564
Gerdien,3,1524,1527
Gosse,1457,3,1460
Gérard,1430,28,1458
Georg,1427,9,1436
Gabriella,7,1394,1401
Gerardine,28,1348,1376
Gerdine,3,1375,1378
Guy,1324,36,1360
Georgius,1345,12,1357
Gepke,10,1309,1319
Gerridina,3,1311,1314
Gianni,1273,26,1299
Gijsbertje,3,1232,1235
Geoffrey,1220,5,1225
Gesiena,5,1220,1225
Gerlinde,3,1161,1164
Gijsje,11,1148,1159
Gerlof,1095,3,1098
Gerjan,1062,13,1075
Geertrudis,549,495,1044
Gisela,15,991,1006
Gonda,10,995,1005
Giulia,3,964,967
Godelieve,28,928,956
Gaston,855,55,910
Geralda,3,895,898
Gerhardina,0,885,885
Geurtje,3,879,882
Geraldina,11,835,846
Guurtje,0,846,846
Gatoen,0,843,843
Gerrit-Jan,840,3,843
Geke,14,824,838
Gustav,803,5,808
Gerjanne,0,803,803
Gillian,329,465,794
Giuseppe,779,7,786
Gusta,17,765,782
Gjalt,765,0,765
Gerke,677,71,748
Gordina,39,685,724
Genoveva,49,668,717
Giovanna,6,709,715
Gera,3,708,711
Georgine,3,669,672
Giorgio,661,0,661
Gül,0,647,647
Geerte,13,629,642
Gerritjen,0,641,641
Guillermo,637,3,640
Ger,525,110,635
Gloria,7,627,634
Geertrude,11,614,625
Gertrudus,505,93,598
Gerbert,586,0,586
Gracia,7,579,586
Georges,552,30,582
