Name,Men,Women,Total
Hendrik,212450,430,212880
Hendrika,1134,179340,180474
Hendrikus,148649,1196,149845
Helena,5255,115254,120509
Henricus,115070,1556,116626
Hubertus,80591,2115,82706
Henrica,1116,59894,61010
Hermanus,47132,298,47430
Herman,41616,266,41882
Hubertina,2472,39390,41862
Hendricus,33197,344,33541
Henriëtte,323,29213,29536
Hans,28309,169,28478
Hermina,175,28122,28297
Harm,25337,18,25355
Hendrina,395,19349,19744
Hendrikje,21,16973,16994
Henri,16455,303,16758
Hugo,15819,76,15895
Henriette,292,15180,15472
Hendrica,200,14682,14882
Hubert,14348,320,14668
Henk,12208,66,12274
Henderika,16,10893,10909
Harmen,9587,5,9592
Harry,9250,82,9332
Huberta,138,8866,9004
Hillegonda,20,8365,8385
Hannah,7,8271,8278
Huberdina,238,7312,7550
Hanna,34,7310,7344
Hidde,7005,9,7014
Harmina,5,6723,6728
Henderikus,6491,3,6494
Hermannus,6060,3,6063
Huibert,5996,3,5999
Hélène,201,5707,5908
Heleen,40,5752,5792
Hester,18,5733,5751
Henry,5635,46,5681
Hilde,38,5640,5678
Helene,185,5481,5666
Henny,1068,4176,5244
Hein,5136,27,5163
Hilda,56,5039,5095
Harold,5040,36,5076
Hermine,45,4945,4990
Hanneke,15,4705,4720
Heinrich,4228,42,4270
Hermanna,13,4030,4043
Hiltje,16,3883,3899
Henrika,76,3632,3708
Harmke,8,3571,3579
Hessel,3492,8,3500
Heidi,37,3352,3389
Hindrik,3315,3,3318
Hedwig,140,3040,3180
Henrike,6,3171,3177
Hennie,677,2481,3158
Herma,3,3105,3108
Harmannus,3098,3,3101
Hubertine,82,2927,3009
Helen,15,2739,2754
Herbert,2705,20,2725
Hinke,112,2572,2684
Hilligje,3,2551,2554
Hamza,2543,6,2549
Henrieke,3,2450,2453
Helga,41,2378,2419
Harald,2307,14,2321
Huiberdina,11,2294,2305
Han,2104,150,2254
Huub,2182,42,2224
Harmanna,5,2199,2204
Henrietta,42,2123,2165
Henriëtta,31,2127,2158
Harrie,2073,56,2129
Henrikus,2009,39,2048
Hanne,146,1877,2023
Hillechien,3,1949,1952
Hermien,19,1873,1892
Hetty,12,1854,1866
Heintje,46,1799,1845
Hielke,1801,26,1827
Hilbert,1790,3,1793
Heiltje,3,1785,1788
Hailey,8,1723,1731
Hubertha,13,1709,1722
Henrik,1699,3,1702
Hinderika,3,1643,1646
Hyacinthus,1533,104,1637
Hildegard,64,1529,1593
Helène,56,1484,1540
Hermana,40,1481,1521
Hajar,3,1518,1521
Helma,18,1456,1474
Harma,3,1428,1431
Hyacintha,23,1373,1396
Hasan,1329,20,1349
Hylke,1218,71,1289
Hubrecht,1255,3,1258
Hatice,0,1253,1253
Harriët,5,1235,1240
Hüseyin,1182,0,1182
Hicham,1152,3,1155
Hendrike,0,1149,1149
Henderik,1142,0,1142
Hassan,1017,123,1140
Henriët,5,1134,1139
Huig,1109,0,1109
Hinderikus,1107,0,1107
Hieronymus,1085,16,1101
Huibrecht,1098,0,1098
Hermann,1088,6,1094
Hilbrand,1064,0,1064
Hakan,1058,0,1058
Hiske,82,975,1057
Hermen,1044,3,1047
