Name,Men,Women,Total
Ingrid,245,37674,37919
Iris,45,26220,26265
Irene,295,25210,25505
Ilse,49,18306,18355
Inge,192,16549,16741
Ida,684,15276,15960
Isa,457,12079,12536
Isabella,252,12068,12320
Ilona,77,11113,11190
Ingeborg,41,9565,9606
Irma,275,9237,9512
Isabel,16,9010,9026
Ivo,8619,88,8707
Isabelle,32,8284,8316
Indy,639,5103,5742
Ignatius,4789,239,5028
Ineke,32,4478,4510
Ivonne,74,4401,4475
Ian,4412,6,4418
Imke,181,3960,4141
Ina,10,3631,3641
Ibrahim,3467,125,3592
Isis,8,3291,3299
Ivar,3091,5,3096
Iwan,2869,13,2882
Ivan,2652,15,2667
Ilja,879,1594,2473
Inez,27,2446,2473
Ilonka,8,2298,2306
Ingmar,2175,81,2256
Ivy,54,2107,2161
Ismail,1989,44,2033
Ilias,2022,3,2025
Izaäk,1933,3,1936
Imane,3,1869,1872
Izaak,1847,5,1852
Isaac,1659,5,1664
IJsbrand,1652,3,1655
Irmgard,61,1500,1561
Imran,1425,66,1491
Igor,1441,7,1448
Ignatia,7,1362,1369
Ine,74,1286,1360
Izak,1174,3,1177
Ilyas,1141,7,1148
Imre,764,370,1134
Ise,28,1065,1093
Ivana,3,1078,1081
Iza,52,988,1040
Ids,996,3,999
Immanuel,975,14,989
Imme,207,758,965
Isolde,3,946,949
Iman,439,480,919
Ikram,10,904,914
Isabeau,9,878,887
Imelda,24,853,877
Ietje,3,862,865
Indra,161,694,855
Inger,34,809,843
Ismaël,831,9,840
Ilayda,0,836,836
Ines,14,800,814
Ingetje,0,814,814
Irem,0,800,800
IJtje,0,795,795
Isaiah,739,40,779
Inaya,0,775,775
Ilana,3,753,756
Imani,19,708,727
Irena,24,665,689
Ize,8,681,689
Ilham,10,671,681
Irène,25,638,663
Immanuël,642,16,658
Indira,3,653,656
Isra,16,615,631
Isidorus,621,9,630
Ike,269,353,622
Irina,3,586,589
Isaäc,579,0,579
IJmkje,0,574,574
Imad,567,7,574
Ido,550,3,553
Ismay,5,513,518
Issam,512,3,515
IJbeltje,0,511,511
Ieke,59,436,495
Ivette,3,490,493
Isha,81,408,489
Ibtissam,3,474,477
Indi,61,410,471
Ivanka,3,467,470
Ingo,458,3,461
Ismael,420,15,435
Iva,5,430,435
Ismaïl,433,0,433
Izabella,3,430,433
India,8,411,419
Ischa,293,96,389
Ilya,260,117,377
Isaak,373,3,376
Izzy,43,316,359
Idris,327,26,353
IJpe,351,0,351
Ide,303,47,350
Imara,0,348,348
Iliass,342,0,342
Iskander,339,3,342
Imraan,328,0,328
Ilan,318,3,321
Ikrame,0,317,317
Ishaan,316,0,316
Israe,3,314,317
Ilay,304,10,314
Ireen,11,301,312
Ira,55,256,311
Ivor,311,0,311
Immetje,3,302,305
Ilze,3,298,301
IJnskje,0,298,298
IJke,113,182,295
Imrane,294,0,294
Ilvy,0,287,287
Irmina,8,278,286
Irfan,281,3,284
Inga,9,258,267
Ishana,0,266,266
Imkje,3,261,264
Isaura,0,261,261
Iemkje,0,258,258
IJda,3,257,260
Imro,258,0,258
Iefke,0,244,244
Ignace,185,58,243
Ivon,52,191,243
Ilone,3,237,240
Ireneus,232,5,237
István,233,3,236
Ilhame,0,233,233
IJme,226,3,229
Ilker,224,3,227
Ihsan,198,26,224
Ilva,3,216,219
Ilsa,3,215,218
Idske,17,198,215
Iebeltje,0,213,213
Isidoor,193,18,211
Ishak,203,6,209
Ilhan,187,12,199
Inke,36,163,199
Ilke,14,182,196
IJde,195,0,195
Inès,0,195,195
Ivano,194,3,197
Inssaf,0,192,192
Inara,3,187,190
Iven,187,3,190
Isidora,3,183,186
Isaäk,185,0,185
Iede,182,0,182
Ihsane,8,174,182
Iréne,3,176,179
Isaï,168,10,178
Iemke,90,82,172
IJnze,169,0,169
Indigo,79,88,167
Irving,163,3,166
Ianthe,0,164,164
Ismet,158,5,163
Immy,3,161,164
Issa,135,27,162
Ikra,5,154,159
Iona,3,156,159
Ilknur,0,157,157
Israa,0,157,157
Inèz,3,154,157
Ishan,155,0,155
Ite,144,11,155
Innocentius,152,3,155
Inés,3,148,151
Ive,91,58,149
Innocentia,3,143,146
Isobel,0,147,147
Ignacio,146,0,146
Intissar,0,146,146
Ipek,0,146,146
Ishika,0,143,143
Ilian,133,9,142
Islam,112,30,142
Ishani,0,141,141
Imaan,9,131,140
Israël,136,3,139
Ilkay,86,52,138
Isadora,0,138,138
Ilka,3,135,138
Ioannis,132,3,135
Insaf,0,131,131
Itske,12,118,130
Irfaan,128,3,131
Inci,3,126,129
Iekje,0,127,127
IJttje,0,126,126
Itje,3,120,123
Iggy,106,15,121
Iektje,0,118,118
Ilco,117,3,120
IJfke,0,117,117
Ileen,0,117,117
Indah,3,112,115
Indie,20,96,116
Iddo,114,0,114
Ika,3,113,116
Ishara,0,114,114
Istvan,114,0,114
Ichelle,0,113,113
Iduna,0,113,113
Indiana,48,65,113
Irini,0,113,113
Inass,3,111,114
Ires,3,111,114
Idelette,0,111,111
Immaculata,8,103,111
Imogen,3,110,113
Isabell,0,110,110
Ilma,0,109,109
Imca,0,109,109
Ingemar,86,23,109
Ibeltje,0,106,106
Idriss,102,3,105
Idse,105,3,108
Inne,76,30,106
Ishaq,106,0,106
İbrahim,103,0,103
Ingena,0,103,103
Ibo,102,0,102
Izaac,102,0,102
IJbele,101,0,101
Ilena,3,99,102
Imanuel,97,3,100
Inas,8,91,99
Iain,98,0,98
Ime,82,16,98
Irenaeus,95,3,98
Ita,3,94,97
Imko,97,0,97
Ing,36,59,95
Inti,46,49,95
Irwin,92,3,95
Ilaysa,0,94,94
Ingeborgh,0,94,94
İrem,3,93,96
Izabel,0,94,94
Izzie,0,94,94
Ivory,46,47,93
Ilonca,0,92,92
Imma,3,89,92
Irmak,3,91,94
Irsa,0,92,92
Isayah,73,19,92
IJnske,0,91,91
Ino,84,6,90
Iefje,0,89,89
İsmail,89,0,89
Ingvar,88,0,88
IJvonne,0,87,87
Imco,86,3,89
Ibe,86,0,86
IJzebrand,86,0,86
Imka,0,86,86
Isedorus,86,0,86
Izaäc,85,0,85
Isidore,69,15,84
Ivanna,0,84,84
Ilyasse,83,0,83
Ingje,0,83,83
Irvin,82,3,85
IJntze,82,0,82
Isla,3,79,82
Isak,79,3,82
Ipe,79,3,82
Ieme,59,19,78
IJtzen,78,0,78
Iliana,0,78,78
Ivanildo,78,0,78
Idil,0,77,77
Iebele,77,0,77
Izzet,77,0,77
Ishaya,3,75,78
Ietske,0,74,74
Ihab,72,3,75
Inaaya,0,74,74
Inayah,0,74,74
Inte,40,33,73
Isedora,3,71,74
Iker,71,0,71
Ingelina,0,71,71
Iqbal,45,26,71
Isar,69,3,72
Illias,69,0,69
Imaani,0,69,69
Imen,3,65,68
Ishaaq,69,0,69
Ishita,0,69,69
Ishwar,69,0,69
Israel,68,3,71
Ilene,0,68,68
Ilija,66,3,69
Isam,68,0,68
Issrae,0,68,68
Inka,3,66,69
Isabela,0,67,67
Ibtissame,0,66,66
IJkje,0,66,66
Ilyass,66,0,66
Isai,60,5,65
Ivey,26,39,65
Immigje,0,64,64
Iske,3,63,66
Iben,37,26,63
Ismene,0,63,63
Ilyaas,61,3,64
Ima,3,60,63
Ingen,47,15,62
Izebrand,62,0,62
Irenea,3,60,63
Irshaad,58,3,61
Isah,23,38,61
Isidor,60,3,63
Imar,59,3,62
Ibtisam,0,59,59
Iet,3,57,60
IJpkje,0,59,59
Imany,3,58,61
Isiah,59,0,59
Ileana,0,58,58
Iqra,0,58,58
Idsert,57,0,57
Idskje,0,57,57
Ilai,53,3,56
Iclal,0,55,55
Idzard,55,0,55
IJmert,55,0,55
Ila,3,52,55
Ingvild,0,55,55
Intisar,0,55,55
Ioanna,0,55,55
Ibtisame,0,54,54
Igmar,53,3,56
Iskandar,53,3,56
Ieteke,0,53,53
Inneke,3,52,55
Ilia,38,14,52
Ilmar,51,3,54
Ignas,51,0,51
Ilyana,0,51,51
Ismayil,51,0,51
Ivona,3,49,52
Ilanit,3,49,52
Ilon,13,37,50
Ioan,49,3,52
Irja,3,49,52
Irwan,50,0,50
Iwana,0,50,50
Ietsje,0,49,49
Ignaz,48,3,51
Ilaisa,0,49,49
Indya,0,49,49
Inske,0,49,49
Irshad,49,0,49
Işil,0,49,49
Iyad,49,0,49
Ibolya,0,48,48
Idwer,30,18,48
Ilyes,48,0,48
Immie,0,48,48
Iraida,0,48,48
İlayda,0,47,47
Irmgardis,3,43,46
Italo,47,0,47
Ibrahiem,46,0,46
Ienskje,0,46,46
Ietse,46,0,46
Igo,45,3,48
Imanda,0,46,46
Immo,45,3,48
Irmo,45,3,48
Isanne,0,46,46
Iwe,46,0,46
Iene,28,17,45
Iko,43,3,46
Illona,0,45,45
Isaias,45,0,45
Isan,32,13,45
Ilaria,0,44,44
Ilbina,0,44,44
Inan,42,3,45
Inoa,7,37,44
Irén,0,44,44
Irmin,26,18,44
Iron,42,3,45
Ismahan,0,44,44
Isodorus,44,0,44
Ilaysha,0,43,43
Iboya,0,42,42
Ies,31,11,42
Ikenna,42,0,42
Ildikó,0,42,42
Immanuela,0,42,42
Inkje,0,42,42
Ishvar,42,0,42
IJje,41,0,41
Impje,0,41,41
Intan,7,34,41
Ioana,0,41,41
Idalina,3,39,42
Ieneke,0,40,40
Ikhlas,3,37,40
Ilaya,3,38,41
Iljitsj,39,3,42
Imtiaz,36,3,39
Iny,3,37,40
Iara,0,39,39
Ildiko,0,39,39
Ilvie,0,39,39
Ingomar,39,0,39
Ingwer,38,3,41
Izabelle,0,39,39
Iason,38,0,38
IJpke,32,6,38
Ikbal,15,23,38
Ilda,0,38,38
Iloy,38,0,38
Ilza,0,38,38
Ingela,0,38,38
Iskender,38,0,38
Izel,0,38,38
IJnte,37,0,37
Ilano,37,0,37
Ingelise,0,37,37
Inigo,35,3,38
Ion,36,3,39
Iselle,0,37,37
Issey,20,17,37
Ibtihal,0,36,36
Ico,36,0,36
Idaline,3,35,38
IJnse,36,0,36
IJtske,0,36,36
Ikina,0,36,36
İlknur,0,36,36
Ilko,36,0,36
Immina,0,36,36
Inse,26,10,36
Ione,3,34,37
Irith,0,36,36
Isaya,9,27,36
Isidro,36,0,36
Ivonna,0,36,36
IJktje,0,35,35
Imana,0,35,35
Immanuelle,0,35,35
Irna,0,35,35
Isac,35,0,35
Ives,33,3,36
Ivone,3,34,37
Ivora,0,35,35
Ibbe,34,0,34
Ifeoma,0,34,34
IJbe,34,0,34
Ineya,0,34,34
Irvan,34,0,34
Ignacia,0,33,33
Ignata,0,33,33
Ignazio,33,0,33
IJmke,29,3,32
Ipo,33,0,33
Isabo,0,33,33
Ishtar,10,23,33
Isidoro,32,3,35
Itse,32,3,35
Iann,32,0,32
Ibele,31,3,34
Ien,3,28,31
Imaya,0,32,32
Inca,3,29,32
Inder,31,3,34
Indrani,0,32,32
Inês,3,30,33
Ingrit,3,31,34
Isa-Beau,0,32,32
Isara,3,31,34
Izara,0,32,32
Izem,3,31,34
Ibelina,0,31,31
Idsard,31,0,31
Iebe,30,3,33
Ielke,19,12,31
Igoné,0,31,31
Inanna,0,31,31
Ithamar,30,3,33
Iver,29,3,32
Ivet,0,31,31
Izaira,0,31,31
Idde,29,3,32
Ienske,0,30,30
Iepie,0,30,30
Iesa,24,6,30
Igle,30,0,30
Imala,3,29,32
Immerentia,0,30,30
Inze,25,5,30
Isja,12,18,30
Izar,28,3,31
Idalie,3,28,31
Idan,25,3,28
Ieuwkje,0,29,29
IJbert,29,0,29
Iliyas,29,0,29
Illya,20,9,29
Imadeddine,29,0,29
Inessa,0,29,29
Irvine,17,12,29
Isaia,21,8,29
Ishmael,29,0,29
Itamar,29,0,29
Ibrahima,28,0,28
Igna,3,27,30
IJsebrand,28,0,28
Ilhami,28,0,28
Imri,20,8,28
Inno,27,3,30
Isaline,0,28,28
Işıl,3,27,30
Izabela,0,28,28
Ibn,25,3,28
Icenius,27,0,27
Idries,27,0,27
IJsbranda,0,27,27
Infinity,3,26,29
Ish,27,0,27
Iteke,0,27,27
Ivanca,0,27,27
Ivie,3,26,29
Iwona,0,27,27
Izzi,3,25,28
Ichiro,26,0,26
Idar,26,0,26
IJf,24,3,27
Ikechukwu,25,3,28
Illse,0,26,26
Immanuëlle,0,26,26
Irian,24,3,27
Isse,18,8,26
Izhar,24,3,27
Idalia,0,25,25
Iepe,25,0,25
Ignatio,22,3,25
Ilyano,25,0,25
Ilysa,0,25,25
Imanuël,25,0,25
Indyra,0,25,25
Ingel,23,3,26
Ingolf,25,0,25
Irisa,3,24,27
Irit,0,25,25
Isebel,3,24,27
Israfil,25,0,25
Itai,25,0,25
Ivica,23,3,26
Izaura,0,25,25
Izza,3,24,27
Ica,3,22,25
Iedje,0,24,24
IJsbrandt,24,0,24
Imilda,3,23,26
Inayat,24,0,24
Iolanda,0,24,24
Irish,3,23,26
Ismahane,0,24,24
Isolda,0,24,24
Itte,3,20,23
Ichraq,0,23,23
Ienke,0,23,23
Ietze,22,3,25
Ihsaan,16,7,23
IJbelina,0,23,23
IJge,23,0,23
IJmte,23,0,23
İlker,23,0,23
Imkea,0,23,23
Ingenetta,0,23,23
Iren,8,15,23
Irza,3,22,25
İsa,23,0,23
Ishayra,0,23,23
Izaline,0,23,23
Idiris,22,0,22
Iep,16,6,22
Ieuwe,22,0,22
IJeb,21,3,24
Ijen,22,0,22
IJtsen,22,0,22
Ilayah,12,10,22
Ilvi,0,22,22
Imtiaaz,22,0,22
Inéz,0,22,22
Ini,3,21,24
Irenus,22,0,22
Ishaak,22,0,22
Izayah,22,0,22
Idsge,21,0,21
Ihssane,0,21,21
Ikhlasse,0,21,21
Ikraam,3,20,23
Iljan,21,0,21
Imari,8,13,21
Indrawatie,0,21,21
Inocencia,3,20,23
Iram,3,18,21
Irmy,3,20,23
Irthe,0,21,21
Ismee,3,19,22
Istar,3,17,20
Italia,0,21,21
Iverna,0,21,21
Iete,14,6,20
Ife,5,15,20
Ilaf,3,16,19
Ilaisha,3,19,22
Ilario,20,0,20
Ilayza,0,20,20
Ilkan,20,0,20
Imano,20,0,20
Imkelina,0,20,20
Ingeburg,3,19,22
İpek,0,20,20
Ireneo,16,3,19
Isalie,0,20,20
Ishai,20,0,20
Iska,7,13,20
Ismar,20,0,20
Issy,3,18,21
Iván,20,0,20
Iago,19,0,19
Ief,9,10,19
Ige,17,3,20
İhsan,19,0,19
Ikranur,0,19,19
Ilani,0,19,19
Ileyna,0,19,19
Ilmari,18,3,21
Ilyza,0,19,19
Imkina,0,19,19
Imo,19,0,19
Indirah,0,19,19
Inocentius,18,3,21
Intje,0,19,19
Irah,0,19,19
Irais,0,19,19
Irmine,0,19,19
Irsjaad,19,0,19
Issabella,0,19,19
Ittje,0,19,19
Ivanne,3,18,21
Icarus,18,0,18
Ichrak,0,18,18
Iclâl,0,18,18
Idhuna,0,18,18
Idzerd,18,0,18
Iek,3,16,19
Ienje,0,18,18
Ietzen,18,0,18
