Name,Men,Women,Total
Johannes,813633,6827,820460
Johanna,8875,724630,733505
Jan,376312,685,376997
Jacobus,182290,1479,183769
Jacoba,867,124753,125620
Johan,107540,429,107969
Jacob,85079,70,85149
Joseph,67721,2366,70087
Jozef,67289,2060,69349
Josephina,2201,67046,69247
Josephus,68109,1011,69120
Jeroen,57907,114,58021
Jacqueline,314,35319,35633
Jolanda,196,33118,33314
Janna,41,30440,30481
Julia,182,28656,28838
Joannes,28331,266,28597
Jantje,330,26843,27173
Jasper,24096,16,24112
Judith,175,22976,23151
Jesse,21724,412,22136
Joost,22083,39,22122
Josepha,286,21488,21774
Jelle,21698,50,21748
Jannetje,25,21559,21584
Joanna,300,21022,21322
Josephine,507,20610,21117
John,19128,191,19319
Joyce,126,19146,19272
Jeannette,223,18300,18523
Jeffrey,17580,35,17615
Julian,17431,50,17481
José,2336,13473,15809
Jantina,21,15105,15126
Jessica,45,15022,15067
Joris,15005,22,15027
Janneke,16,14223,14239
Jasmijn,3,13651,13654
Jonathan,12355,8,12363
Justin,12037,33,12070
Joey,11885,103,11988
Jordy,11373,59,11432
Jakob,10729,13,10742
Jean,9674,1024,10698
Jennifer,41,10255,10296
Jeanne,271,9629,9900
Janny,46,9845,9891
Joshua,9660,61,9721
Jayden,9418,152,9570
Josina,130,9355,9485
Jannie,37,9189,9226
Janine,33,9152,9185
Julius,9002,55,9057
Jannigje,9,9018,9027
Jacques,8797,163,8960
Job,8929,19,8948
Joep,8846,36,8882
Jaap,8622,5,8627
Jens,8539,11,8550
Jeanette,83,8450,8533
Jochem,8086,13,8099
Jozefina,227,7575,7802
Joël,7419,196,7615
James,7307,72,7379
Jansje,5,7172,7177
Johannus,6931,161,7092
Johnny,6960,42,7002
Joanne,9,6953,6962
Jill,45,6887,6932
Juliana,218,6556,6774
Julie,15,6697,6712
Jacomina,42,6626,6668
Jenny,85,6515,6600
Joan,1802,4521,6323
Jamie,3508,2761,6269
Jason,6229,3,6232
Jack,6131,55,6186
Janke,10,6071,6081
Jesper,6018,3,6021
Jurgen,5957,23,5980
Jos,5569,388,5957
Joy,549,5286,5835
Johannis,5638,5,5643
Jurre,5523,3,5526
Jane,41,5446,5487
Jelmer,5477,3,5480
Jenneke,5,5424,5429
Jeltje,7,5406,5413
Janne,275,5082,5357
Joëlle,30,5317,5347
Jim,5318,14,5332
Joke,44,5230,5274
Jade,55,5214,5269
Jordi,5185,27,5212
Jeremy,5132,8,5140
Jarno,5094,7,5101
Jimmy,5037,35,5072
Josef,4846,163,5009
Jannes,4960,8,4968
Jantine,9,4866,4875
Jay,4664,181,4845
Jozina,21,4803,4824
Juliette,35,4706,4741
Jules,4365,339,4704
Jurjen,4315,6,4321
Jip,3106,1207,4313
Jorn,4214,5,4219
Jeanine,52,4166,4218
Janet,5,4188,4193
Jaimy,2398,1791,4189
Josefina,158,3973,4131
Jelte,4030,3,4033
Jitske,3,3816,3819
Jentje,456,3315,3771
Jorrit,3625,16,3641
Joeri,3582,14,3596
Johann,3554,23,3577
Joachim,3475,68,3543
Juliëtte,29,3479,3508
Juul,1131,2107,3238
Jonas,3202,7,3209
Jort,3207,0,3207
Jessie,536,2637,3173
Jans,2257,908,3165
Jolien,3,3120,3123
Jacco,3114,5,3119
Jannette,5,3105,3110
Jet,18,3083,3101
Jari,3086,14,3100
Junior,2956,20,2976
Jerry,2937,32,2969
Jan-Willem,2932,8,2940
Jantien,23,2831,2854
Josefien,37,2772,2809
Jolie,3,2749,2752
Jordan,2264,448,2712
Jurriaan,2686,3,2689
Jouke,2574,87,2661
Joop,2512,45,2557
Jolijn,3,2546,2549
Jetske,3,2496,2499
Jolande,14,2419,2433
Jozephus,2364,19,2383
Jop,2375,6,2381
Johanne,17,2361,2378
Jozeph,2340,24,2364
Jente,567,1791,2358
Jennigje,3,2282,2285
Jozefa,49,2158,2207
Josine,20,2129,2149
Jessy,1017,1128,2145
Joukje,3,2014,2017
Jakobus,2000,13,2013
Jacky,849,1130,1979
Janette,6,1973,1979
Jacquelina,21,1905,1926
Justus,1895,3,1898
Julien,1762,67,1829
Joran,1824,3,1827
Jakoba,6,1776,1782
Josefine,36,1704,1740
Jenneken,3,1708,1711
Jantiena,3,1706,1709
Jenna,3,1682,1685
Jozefus,1650,15,1665
Jonah,1579,57,1636
Jacobine,3,1537,1540
Jürgen,1498,26,1524
Josien,9,1506,1515
Jorien,51,1459,1510
Jake,1501,3,1504
Jayson,1501,3,1504
Joas,1462,0,1462
Jozephina,23,1417,1440
Josefa,29,1406,1435
Justine,16,1413,1429
Jorg,1417,5,1422
June,30,1391,1421
Jilles,1394,13,1407
Jacobje,3,1398,1401
Jurriën,1396,3,1399
Jasmine,3,1392,1395
Josée,23,1368,1391
Jennie,3,1377,1380
Jana,11,1365,1376
Jeanet,8,1365,1373
Jean-Paul,1335,21,1356
Jace,1333,21,1354
Justina,25,1324,1349
Jamal,1299,31,1330
Juan,1310,17,1327
Janita,0,1303,1303
Joppe,1276,24,1300
Jette,27,1242,1269
Jody,284,984,1268
Jikke,68,1184,1252
Jara,15,1231,1246
Jozua,1228,3,1231
Jonne,592,620,1212
Jermaine,1191,20,1211
Jaylinn,3,1197,1200
Jackie,172,1026,1198
Jantinus,1196,3,1199
Jax,1178,8,1186
Janice,6,1173,1179
Jur,1173,3,1176
Jacobina,15,1159,1174
Jaantje,3,1159,1162
Jildou,0,1157,1157
Josje,37,1112,1149
Jurrien,1095,35,1130
Jaco,1108,8,1116
Jada,3,1107,1110
Joe,1044,35,1079
Jeremiah,1069,6,1075
Jamila,3,1069,1072
Jurian,1053,0,1053
Joram,1048,3,1051
Jasmin,29,1018,1047
Jannet,3,1038,1041
Jiska,23,1012,1035
Jacomijntje,3,1027,1030
Joëlla,0,1022,1022
Jozias,1017,0,1017
Jinte,22,975,997
Jorik,988,3,991
Jeannet,7,977,984
Joséphine,16,954,970
Jacintha,8,952,960
Jannick,926,27,953
Jacquelien,6,943,949
Jitse,929,5,934
Jannetta,3,924,927
Jetze,918,0,918
Jayda,0,907,907
Jaïr,889,5,894
Jeffry,882,3,885
Jelke,688,181,869
Julianus,859,10,869
Jorinde,0,862,862
Jacinta,18,843,861
Jazz,426,434,860
Joni,117,743,860
Jona,648,207,855
Jacoline,6,844,850
Juanita,3,847,850
Josephien,40,806,846
Juliën,814,32,846
Jacobien,0,833,833
Jeannine,31,800,831
Jörgen,830,3,833
Justinus,824,3,827
Juliët,3,820,823
Juriaan,815,0,815
Jedidja,110,703,813
Jurrian,808,3,811
Johanneke,0,803,803
Jonna,5,788,793
Jaapje,8,784,792
Jaron,788,3,791
Jon,770,18,788
Johny,761,13,774
Josette,11,761,772
Jaël,330,432,762
Jamilla,3,756,759
Jeannetta,16,740,756
Jaqueline,7,741,748
Jochum,737,3,740
Juna,11,724,735
Jeske,0,730,730
Janske,7,718,725
Jentina,0,724,724
Jamy,354,366,720
Jorian,711,7,718
