Name,Men,Women,Total
Klaas,32996,11,33007
Kim,870,27433,28303
Karin,115,26304,26419
Kevin,25250,60,25310
Karel,20752,153,20905
Koen,18129,30,18159
Kelly,303,10142,10445
Klazina,17,10242,10259
Kirsten,42,10216,10258
Kornelis,9911,0,9911
Katharina,255,7303,7558
Kees,6856,69,6925
Kimberley,18,6783,6801
Kimberly,13,6156,6169
Karlijn,3,5629,5632
Karen,31,5309,5340
Klasina,6,4691,4697
Klaasje,15,4433,4448
Kyra,15,4384,4399
Kay,4087,269,4356
Kiki,19,4333,4352
Kasper,3971,7,3978
Kai,3400,88,3488
Krijn,3476,3,3479
Kayleigh,10,3350,3360
Kaylee,6,3252,3258
Karina,36,3156,3192
Kristel,16,3082,3098
Kitty,21,3015,3036
Koenraad,2851,19,2870
Kornelia,5,2681,2686
Kenneth,2481,13,2494
Kyan,2443,7,2450
Keano,2374,0,2374
Katja,13,2085,2098
Kaj,2067,9,2076
Klaaske,3,1993,1996
Kris,1145,825,1970
Klaske,6,1902,1908
Kelvin,1881,0,1881
Kristian,1811,17,1828
Karim,1770,26,1796
Klara,17,1769,1786
Krista,3,1735,1738
Karl,1701,16,1717
Kate,3,1715,1718
Katinka,3,1681,1684
Kyara,3,1679,1682
Kaan,1564,0,1564
Kian,1469,10,1479
Koert,1461,3,1464
Kelsey,42,1376,1418
Khalid,1366,42,1408
Khadija,0,1366,1366
Kyano,1325,3,1328
Koos,1270,54,1324
Kaya,572,735,1307
Kick,1283,19,1302
Kenny,1247,16,1263
Karolina,5,1234,1239
Klaziena,3,1178,1181
Karst,1152,3,1155
Karsten,1099,3,1102
Kars,1071,0,1071
Karima,3,1059,1062
Kaoutar,0,1048,1048
Kristiaan,978,0,978
Kjell,934,3,937
Kumar,927,5,932
Kadir,922,3,925
Kristina,9,905,914
Kylian,884,28,912
Kjeld,898,3,901
Klaartje,3,859,862
Kerem,855,0,855
Kübra,0,854,854
Kiara,0,848,848
Krijntje,3,836,839
Kaatje,3,819,822
Kenji,770,10,780
Kira,3,770,773
Kane,715,7,722
