Name,Men,Women,Total
Leonardus,66777,1498,68275
Louise,683,60852,61535
Lambertus,49791,666,50457
Leendert,35376,29,35405
Lucas,33999,153,34152
Linda,144,32663,32807
Laura,53,31784,31837
Lisa,53,27675,27728
Louisa,1028,25613,26641
Louis,23783,341,24124
Lars,22801,16,22817
Lucia,771,21687,22458
Lotte,8,22170,22178
Leonie,332,17027,17359
Luuk,17076,11,17087
Laurens,16873,62,16935
Lieke,23,15439,15462
Lena,30,15422,15452
Leonard,15208,186,15394
Laurentius,13876,340,14216
Leonarda,127,13905,14032
Lodewijk,13203,214,13417
Lynn,27,13015,13042
Levi,12494,270,12764
Leon,12143,225,12368
Lisanne,11,11279,11290
Lamberta,135,10644,10779
Luca,9367,1376,10743
Ludovicus,9523,339,9862
Leo,9512,194,9706
Lisette,45,9167,9212
Luna,49,8067,8116
Lydia,59,7847,7906
Liam,7739,9,7748
Luc,7219,60,7279
Lara,3,6705,6708
Lianne,26,6549,6575
Loes,27,6339,6366
Loïs,41,6044,6085
Lukas,6079,6,6085
Lorenzo,6016,8,6024
Larissa,3,5524,5527
Lambert,5417,77,5494
Lina,20,5424,5444
Lilian,129,5264,5393
Liesbeth,59,5025,5084
Lammert,5048,3,5051
Lamberdina,114,4522,4636
Lauren,258,4240,4498
Liv,13,4401,4414
Leroy,4230,13,4243
Léon,4015,55,4070
Leentje,9,3977,3986
Lambertha,35,3882,3917
Lidwina,59,3772,3831
Lennart,3801,6,3807
Laurentia,34,3658,3692
Lizzy,6,3657,3663
Lise,7,3564,3571
Liduina,72,3424,3496
Liz,3,3487,3490
Leonora,42,3426,3468
Liza,41,3312,3353
Lonneke,3,3324,3327
Lieve,48,3064,3112
Luke,2957,84,3041
Leopold,2900,85,2985
Lijntje,3,2927,2930
Lucien,2835,70,2905
Lesley,1840,1057,2897
Leontine,47,2810,2857
Lana,3,2829,2832
Lola,3,2822,2825
Lourens,2813,3,2816
Loek,2718,84,2802
Lex,2740,12,2752
Lieuwe,2749,3,2752
Lindsey,7,2586,2593
Liselotte,8,2541,2549
Luka,1919,622,2541
Lily,19,2482,2501
Lize,7,2482,2489
Lucie,60,2352,2412
Luciano,2315,5,2320
Lucienne,54,2141,2195
Laurina,12,2151,2163
Lennard,2115,3,2118
Ludovica,48,1995,2043
Leander,1988,48,2036
Lee,1188,805,1993
Leuntje,3,1978,1981
Lindsay,18,1954,1972
Lambertina,32,1913,1945
Lois,54,1889,1943
Leanne,3,1893,1896
Livia,3,1879,1882
Lucy,16,1841,1857
Leonardo,1741,29,1770
Levina,12,1756,1768
Lea,50,1678,1728
Ludwig,1572,18,1590
Lindy,7,1533,1540
Lenn,1420,36,1456
Leonore,12,1437,1449
Levy,1369,78,1447
Laetitia,5,1434,1439
Lian,81,1356,1437
Laila,5,1403,1408
Layla,0,1401,1401
Lucretia,7,1391,1398
Lilly,3,1353,1356
Leah,3,1341,1344
Lubbertus,1337,0,1337
Linn,8,1308,1316
Ludwina,38,1274,1312
Lia,25,1282,1307
Laurence,751,542,1293
Lenie,29,1258,1287
Linsey,3,1260,1263
Lubertus,1256,3,1259
Lobke,3,1244,1247
Leona,21,1223,1244
Laurent,1212,26,1238
Lou,478,739,1217
Lubbert,1216,0,1216
Leontien,5,1197,1202
Lodevicus,1116,52,1168
Lammechien,3,1161,1164
Liane,5,1124,1129
Lenny,490,634,1124
Lammigje,3,1109,1112
Lutske,3,1095,1098
Lasse,1091,3,1094
Lysanne,0,1090,1090
Leslie,690,396,1086
Lorena,3,1055,1058
