Name,Men,Women,Total
Maria,468188,1401382,1869570
Marinus,119229,707,119936
Martinus,112919,1300,114219
Margaretha,2837,110712,113549
Marie,47443,44285,91728
Martina,722,51313,52035
Monique,434,48092,48526
Marcel,45331,318,45649
Martijn,43511,102,43613
Maarten,42311,49,42360
Marianne,343,38280,38623
Mark,38057,87,38144
Michael,36060,375,36435
Martin,33286,230,33516
Marco,30889,169,31058
Michel,30409,348,30757
Michiel,25546,178,25724
Martha,573,24007,24580
Magdalena,625,22972,23597
Maaike,18,23562,23580
Marijke,82,23211,23293
Marieke,33,22319,22352
Michelle,83,22073,22156
Matthijs,21834,33,21867
Miranda,163,21020,21183
Marcus,20788,316,21104
Max,20960,101,21061
Mike,19042,60,19102
Maartje,15,19050,19065
Mirjam,48,18437,18485
Marc,17889,148,18037
Martine,65,17896,17961
Marina,89,17329,17418
Maurice,16896,392,17288
Mathijs,16447,392,16839
Marjolein,28,16783,16811
Manon,102,15929,16031
Milan,15574,109,15683
Monica,219,14946,15165
Melissa,31,14730,14761
Mathilda,813,13551,14364
Mariska,23,13636,13659
Matheus,13037,603,13640
Marius,13478,60,13538
Maud,61,13042,13103
Marijn,10135,2879,13014
Merel,7,12548,12555
Marije,6,12522,12528
Mohamed,11787,524,12311
Margriet,189,12075,12264
Michaël,11976,267,12243
Marion,253,11788,12041
Melanie,127,11802,11929
Marit,8,11651,11659
Mathias,10485,812,11297
Mattheus,11005,80,11085
Menno,10875,12,10887
Marleen,97,10776,10873
Mathilde,681,10147,10828
Marloes,14,10715,10729
Mandy,62,10568,10630
Marten,10568,3,10571
Mees,9379,442,9821
Milou,20,8984,9004
Marjan,71,8881,8952
Mariëlle,69,8494,8563
Maurits,7992,32,8024
Myrthe,6,7905,7911
Mila,28,7465,7493
Mohammed,7061,124,7185
Matthias,7096,76,7172
Mathieu,6536,446,6982
Miriam,99,6755,6854
Mathea,122,6562,6684
Mario,6541,123,6664
Marian,239,6403,6642
Marja,17,6451,6468
Maikel,6426,25,6451
Mats,6332,9,6341
Melvin,6142,14,6156
Maatje,11,6088,6099
Mitchell,5975,20,5995
Meike,11,5881,5892
Machiel,5847,31,5878
Mieke,51,5772,5823
Maureen,28,5680,5708
Margot,56,5637,5693
Margje,3,5549,5552
Maxime,890,4372,5262
Markus,4981,55,5036
Mick,4920,37,4957
Marlies,76,4878,4954
Mireille,18,4894,4912
Margreet,8,4785,4793
Mary,144,4630,4774
Marcella,28,4741,4769
Mika,4318,254,4572
Manuel,4521,25,4546
Mirthe,5,4475,4480
Merijn,4218,244,4462
Manuela,49,4355,4404
Madelief,3,4256,4259
Marvin,4164,20,4184
Marjolijn,8,4156,4164
Mechelina,145,4012,4157
Minke,30,4114,4144
Marcellinus,4115,17,4132
Martje,12,4118,4130
Madeleine,80,4033,4113
Melle,3904,181,4085
Meindert,4034,10,4044
Mara,15,4016,4031
Marjon,26,3953,3979
Mart,3837,29,3866
Madelon,6,3849,3855
Mitchel,3719,9,3728
Marrigje,3,3695,3698
Megan,3,3673,3676
Martien,3319,275,3594
Mariëtte,64,3517,3581
Marnix,3575,6,3581
Mustafa,3544,33,3577
Mehmet,3300,3,3303
Merlijn,2681,508,3189
Morris,3121,25,3146
Maxim,3024,121,3145
Marcellus,3053,63,3116
Micha,2928,187,3115
Mare,31,3077,3108
Muhammed,3014,3,3017
Mina,52,2910,2962
Maximiliaan,2921,32,2953
Marissa,7,2938,2945
Margo,69,2868,2937
Merle,20,2864,2884
Margretha,28,2805,2833
Mia,83,2746,2829
Marlon,1770,1009,2779
Moniek,15,2737,2752
Marianna,29,2668,2697
Matthew,2681,3,2684
Mirte,3,2672,2675
Marjanne,5,2580,2585
Mirella,10,2430,2440
Marie-Louise,128,2310,2438
Mischa,1905,498,2403
Mechtilda,165,2220,2385
Marga,57,2300,2357
Mae,7,2268,2275
