Name,Men,Women,Total
Nicolaas,80677,975,81652
Neeltje,20,28978,28998
Niels,28373,19,28392
Nicole,307,24983,25290
Nick,20843,26,20869
Naomi,23,20687,20710
Nathalie,82,15970,16052
Nienke,5,13707,13712
Nina,18,13460,13478
Noah,12370,1066,13436
Noa,583,12009,12592
Natasja,43,10487,10530
Niek,9786,38,9824
Nancy,108,9443,9551
Nico,9330,155,9485
Nikki,199,8670,8869
Nicky,5188,2828,8016
Nora,18,7007,7025
Nadine,39,6929,6968
Natascha,69,6865,6934
Noor,88,6758,6846
Nicolette,23,6451,6474
Nathan,6429,3,6432
Nelly,53,6357,6410
Nynke,0,5861,5861
Noëlle,11,5135,5146
Nadia,17,4919,4936
Nova,84,4174,4258
Noortje,3,4161,4164
Nicoline,13,4100,4113
Noël,3261,644,3905
Noud,3881,5,3886
Nikita,89,3193,3282
Natalie,16,3257,3273
Nils,2908,3,2911
Nigel,2824,6,2830
Norah,3,2804,2807
Norbertus,2767,24,2791
Nanda,8,2689,2697
Nur,69,2517,2586
Nicolas,2300,52,2352
Nellie,17,2309,2326
Nelleke,3,2253,2256
Nino,2180,23,2203
Nicolasina,32,2086,2118
Niesje,0,2038,2038
Norbert,1914,21,1935
Nicolina,8,1706,1714
Nicola,354,1315,1669
Nanne,1191,412,1603
Nathanaël,1585,3,1588
Nicolle,39,1374,1413
Nisa,0,1398,1398
Nathaniël,1294,21,1315
Nicolien,3,1244,1247
Nout,1224,0,1224
Nena,0,1146,1146
Nine,0,1127,1127
Nour,287,828,1115
Nicolai,1070,18,1088
Natasha,5,1067,1072
Nelis,1051,3,1054
Nikolaas,992,14,1006
Nika,55,901,956
Nicholas,935,3,938
Naud,896,0,896
Nanette,3,891,894
Niki,164,707,871
Nassim,857,3,860
Nabil,845,13,858
Nada,3,828,831
Norman,821,6,827
Nelson,814,9,823
Nicoletta,7,812,819
Nieske,3,797,800
Noëlla,5,792,797
Natalia,19,776,795
Nolan,771,3,774
Nola,3,738,741
Nando,740,0,740
Nella,3,735,738
Ninthe,0,733,733
Nadja,8,716,724
Naoual,0,709,709
Nathalia,9,689,698
Nisrine,0,696,696
Naoufal,668,0,668
Norberta,6,653,659
Noé,135,494,629
Norma,7,583,590
Naz,0,588,588
Nordin,580,0,580
Neline,3,573,576
Nadir,557,6,563
Nel,14,542,556
Nikkie,39,513,552
Naima,3,529,532
Nikky,77,453,530
Nadieh,3,522,525
Nana,200,316,516
Naut,496,3,499
Nicolet,3,491,494
Noureddine,479,0,479
Nicol,40,436,476
Neil,470,3,473
Nanny,3,468,471
Niene,3,469,472
Netty,10,458,468
Noura,3,456,459
Neal,440,5,445
Noëmi,0,431,431
Nanno,429,0,429
Najat,3,425,428
Nomi,3,424,427
Nieke,5,419,424
Nathasja,3,417,420
Noémi,0,407,407
Nicodemus,397,3,400
Nathaly,3,384,387
Nathanael,383,3,386
Nijs,384,3,387
Nik,379,3,382
Nicolaus,361,11,372
Nore,3,366,369
Nathaniel,360,3,363
Naomie,0,361,361
Noam,342,11,353
Nannette,0,351,351
Noraly,0,348,348
Ngoc,83,259,342
Neslihan,0,340,340
Nikolai,339,3,342
Nele,10,321,331
Nabila,0,330,330
Nanning,330,0,330
Naomy,0,326,326
Nanna,5,317,322
Nawal,3,318,321
Nizar,309,6,315
Nelia,3,310,313
Nassira,0,311,311
Nila,3,300,303
Nesrine,0,290,290
Nuray,3,286,289
Novi,55,229,284
Nanouk,8,271,279
Naïma,3,277,280
Noëll,147,129,276
Nuri,256,20,276
Nan,180,90,270
Noë,74,189,263
Niklaas,258,0,258
Nihal,5,251,256
Nikola,230,26,256
Nisha,3,253,256
Niklas,254,0,254
Nelie,3,251,254
Nona,0,252,252
Noreen,0,252,252
Nicasius,240,9,249
Nica,19,227,246
Nanja,0,245,245
Ninke,7,237,244
Najoua,0,240,240
Nic,233,5,238
Natalja,3,236,239
Nely,0,231,231
Nantje,0,230,230
Najim,226,3,229
Nelle,29,194,223
Nouk,19,202,221
Neomi,0,219,219
Nilay,25,194,219
Neo,211,7,218
Noach,213,5,218
Neva,3,215,218
Naoufel,215,0,215
Nida,8,207,215
Nihad,18,194,212
Nieck,203,3,206
Nesrin,0,200,200
Niko,177,19,196
Nadim,192,3,195
Nehemia,164,30,194
Nisanur,0,192,192
Nuria,3,191,194
Neville,186,5,191
Noralie,0,191,191
Natan,187,3,190
Nannie,3,184,187
Neele,7,179,186
Nicolay,185,3,188
Naömi,0,182,182
Nathanja,9,172,181
Nouri,166,15,181
Noan,176,3,179
Naatje,0,179,179
Nio,89,90,179
Norbertha,7,171,178
Nelletje,0,176,176
Niké,8,168,176
Nadya,3,173,176
Najib,173,3,176
Natacha,3,173,176
Nikolaj,171,3,174
Nadira,0,171,171
Nermin,14,155,169
Nazli,0,168,168
Norine,0,168,168
Neel,77,90,167
Nanko,166,0,166
Nettie,9,157,166
Noek,59,106,165
Nalini,0,164,164
Nevin,72,91,163
Nourdin,161,0,161
Nini,3,157,160
Nicolazina,3,153,156
Nurcan,3,156,159
Narin,16,138,154
Nicki,41,112,153
Ninette,0,153,153
Nander,151,0,151
Nard,151,0,151
Nadie,0,149,149
Nayeli,3,148,151
Norbertina,3,145,148
Navin,143,5,148
Nemo,147,3,150
Natanaël,146,3,149
Nike,37,110,147
Noel,126,21,147
Nyah,3,146,149
Nasser,138,8,146
Nesta,111,34,145
Niamh,18,126,144
Nerissa,0,143,143
Naftali,109,33,142
Nicoliene,0,141,141
Nouh,140,0,140
Novan,140,0,140
Nandini,0,138,138
Nima,77,61,138
Noémie,0,138,138
Nasim,130,7,137
Nori,14,123,137
Naim,133,3,136
Nandi,7,129,136
Narda,0,136,136
Nisrin,0,135,135
Najla,0,134,134
Nita,0,134,134
Naziha,3,132,135
Nanine,0,132,132
Nellij,3,129,132
Nhi,3,129,132
Nol,126,3,129
Nia,0,128,128
Nicolaï,127,3,130
Nyncke,3,127,130
Naresh,126,3,129
Nelina,0,127,127
Nanneke,0,126,126
Nickey,63,63,126
Nanou,3,121,124
Nikos,125,0,125
Noelle,3,122,125
Nouhaïla,0,125,125
Nawfal,124,0,124
Nadeche,0,122,122
Niessien,3,120,123
Ninon,3,118,121
Ninte,0,121,121
Nihat,119,3,122
Nikay,103,16,119
Nikie,10,108,118
Nouhaila,0,118,118
Nasir,114,3,117
Nataschja,0,117,117
Nero,116,3,119
Netta,3,113,116
Nanet,0,115,115
Nessa,3,112,115
Natanja,3,111,114
Nyla,0,112,112
Nell,5,106,111
Nikhil,110,0,110
Nickolas,108,3,111
Nuno,109,0,109
Nam,95,13,108
Nguyen,57,51,108
Naina,0,107,107
Nanke,0,107,107
Necati,107,0,107
Nil,11,96,107
Nehir,3,102,105
Niel,103,3,106
Nash,101,3,104
Nevaeh,3,101,104
Nikai,105,0,105
Naïm,100,3,103
Nolda,3,103,106
Narjiss,0,103,103
Nathalja,0,103,103
Naantje,0,102,102
Napoleon,101,3,104
Noemi,3,101,104
Nikolaos,100,3,103
Nasr-Eddine,100,0,100
Neeske,3,99,102
Nilo,99,3,102
Nasreddine,99,0,99
Neda,3,98,101
Neha,3,98,101
Nicôle,3,98,101
Nuriye,0,99,99
Nadina,3,97,100
Nennetje,0,98,98
Nidal,91,7,98
Nimet,3,97,100
Nies,54,42,96
Noer,37,59,96
Neelam,0,95,95
Neelke,3,94,97
Nuran,3,94,97
Neve,5,89,94
Nikolas,93,3,96
Nura,0,93,93
Nevra,0,92,92
Nikolaus,92,0,92
Naära,0,91,91
Nicolás,91,0,91
Nassima,0,90,90
Nela,0,90,90
Noya,3,86,89
Nadeem,70,19,89
Niyazi,89,0,89
Nurgül,0,89,89
Nanon,7,80,87
Nantko,87,0,87
Nazlı,0,87,87
Nejla,0,87,87
Nikee,3,85,88
Nardy,20,66,86
Nas,3,83,86
Nathali,0,86,86
Ninja,3,84,87
Nanco,85,0,85
Nowi,7,78,85
Nour-Eddine,84,0,84
Nazmiye,0,83,83
Noömi,0,83,83
Natalya,3,81,84
Nazar,22,60,82
Nitesh,82,0,82
Nadien,3,78,81
Nasr,77,3,80
Nilesh,79,3,82
Naila,0,80,80
Nataly,0,80,80
Neşe,0,80,80
Nurten,0,79,79
Nandy,3,75,78
Nayla,0,78,78
