Name,Men,Women,Total
Olivier,10375,5,10380
Otto,8329,38,8367
Oscar,7347,45,7392
Olaf,6774,17,6791
Olivia,5,6220,6225
Olga,46,5684,5730
Onno,4290,3,4293
Owen,3966,9,3975
Odilia,281,2544,2825
Omar,2697,100,2797
Olav,1777,3,1780
Oliver,1767,3,1770
Odette,15,1740,1755
Ole,1315,5,1320
Orlando,1248,3,1251
Osman,1174,49,1223
Oda,74,1075,1149
Oumaima,0,1087,1087
Otis,967,22,989
Okke,908,7,915
Onur,813,3,816
Oussama,721,3,724
Oene,684,3,687
Oskar,663,3,666
Odin,596,10,606
Oebele,522,3,525
Olof,503,0,503
Odile,15,465,480
Oswald,452,10,462
Olle,437,6,443
Oeds,438,3,441
Onne,421,5,426
Ottolina,0,409,409
Otte,350,45,395
Orhan,393,0,393
Ozan,385,0,385
Oege,377,3,380
Okan,378,0,378
Othman,373,0,373
Oualid,352,0,352
Oğuzhan,344,0,344
Ouassim,340,0,340
Ouiam,0,332,332
Okko,321,0,321
Omer,260,20,280
Oktay,254,0,254
Odulphus,236,3,239
Obbe,223,0,223
Ottilie,3,217,220
Octavia,6,196,202
Oumnia,0,191,191
Ocean,113,77,190
Osei,143,44,187
Oğuz,184,3,187
Otmar,179,3,182
Ouassima,0,178,178
Ouarda,0,171,171
Ouafa,0,165,165
Omayra,3,155,158
Obe,153,3,156
Oumayra,0,154,154
Owusu,117,26,143
Olger,142,0,142
Oeke,11,128,139
Oguzhan,134,0,134
Osama,109,19,128
Octavie,10,117,127
Ophelia,0,127,127
Odessa,3,122,125
Octovina,0,122,122
Ouissam,24,98,122
Orion,116,3,119
Octovianus,115,3,118
Olcay,85,30,115
Ottoline,0,114,114
Oane,110,3,113
Oona,3,107,110
Otje,5,101,106
Omaira,0,103,103
Ollie,82,20,102
Oriana,3,100,103
Ouail,100,0,100
Ouissal,0,98,98
Octave,90,3,93
Oguz,93,0,93
Octavianus,88,3,91
Oswin,88,0,88
Odrada,6,81,87
Olfert,86,0,86
Ottilia,3,85,88
Oliva,3,82,85
Oumaïma,0,85,85
Orpheo,84,0,84
Orkun,82,0,82
Olf,80,3,83
Oswaldus,79,3,82
Otteline,0,81,81
Ottina,0,81,81
Oumayma,0,80,80
Okje,0,79,79
Omaima,0,79,79
Omid,76,0,76
Ouafae,0,76,76
Obed,75,0,75
Olive,3,71,74
Omari,70,0,70
Olmo,69,0,69
Orfeo,67,3,70
Ornella,0,65,65
Oepke,63,0,63
Oktje,0,63,63
Oberon,62,0,62
Orçun,62,0,62
Orpa,0,62,62
Orson,62,0,62
Obbo,61,0,61
Odilius,60,3,63
Oetse,61,0,61
Oetze,61,0,61
Olympia,3,60,63
Ona,0,61,61
Odelia,0,59,59
Odina,0,59,59
Odine,3,56,59
Ouaïl,58,0,58
Opoku,34,22,56
Ortwin,56,0,56
Olin,35,20,55
Ouwe,55,0,55
Ophélie,0,54,54
Oleg,53,0,53
Ondine,0,52,52
Orville,52,0,52
Othniël,52,0,52
Ottelina,0,52,52
Oomke,51,0,51
Orselina,0,51,51
Oltman,50,0,50
Octaaf,48,3,51
Omèr,36,13,49
Oranda,6,43,49
Ottelien,0,49,49
Ousama,48,3,51
Ouidad,3,47,50
Omayma,0,47,47
Odiel,20,26,46
Otman,46,0,46
Obadja,45,0,45
Ofori,35,10,45
Oğulcan,45,0,45
Olly,22,23,45
Omara,3,42,45
Orlanda,3,43,46
Ojani,43,3,46
Ootske,0,44,44
Ozzy,42,3,45
Odille,3,41,44
Ocker,42,0,42
Oetske,3,41,44
Osvaldo,42,0,42
Otniël,42,0,42
Oumar,42,0,42
Oemar,41,0,41
Orrin,40,3,43
Osiris,35,6,41
Oswaldo,40,3,43
Otgerus,41,0,41
Othilde,3,40,43
Othmar,41,0,41
Ouke,37,3,40
Oukje,0,41,41
Oeda,0,40,40
Oedske,0,40,40
Ofelia,0,40,40
Ottolien,0,40,40
Ouahiba,0,40,40
Odetta,0,39,39
Oliveira,19,20,39
Omed,35,3,38
Orin,39,0,39
Ortje,0,39,39
Octavius,37,3,40
Oenze,38,0,38
Omère,25,13,38
Omnia,0,38,38
Omran,38,0,38
Omri,37,3,40
Oosten,37,3,40
Orry,37,3,40
Owyn,38,0,38
Obinna,37,0,37
Ove,37,0,37
Océane,0,36,36
Olette,0,36,36
Ogün,35,0,35
Orsine,0,35,35
Ouassila,0,35,35
Obeng,19,15,34
Odylia,3,33,36
Olchert,34,0,34
Orla,3,32,35
Ousmane,32,3,35
Oentje,0,33,33
Ossama,32,3,35
Onna,0,32,32
Oswalda,0,32,32
Ode,16,15,31
Odeke,0,31,31
Odo,30,3,33
Olinda,0,31,31
Oumaira,0,31,31
Odulfus,29,3,32
Odylle,0,30,30
Oliviér,30,0,30
Omarion,30,0,30
Orhun,30,0,30
Otilia,3,29,32
Oedse,29,0,29
Oetje,3,27,30
Okkelina,0,29,29
Olov,29,0,29
Oumaya,0,29,29
Oya,3,28,31
Odet,3,27,30
Odulpha,3,27,30
Oline,0,28,28
Olke,24,3,27
Olwen,3,26,29
Onyx,21,7,28
Ostar,28,0,28
Oubayd,28,0,28
Outjer,28,0,28
Owain,28,0,28
Olan,27,0,27
Olliver,27,0,27
Oumou,0,27,27
Oxana,0,27,27
Oncko,26,0,26
Onesimus,26,0,26
Onje,3,25,28
Orveo,26,0,26
Ostara,0,26,26
Ottonia,0,26,26
Odillia,0,25,25
Odilon,23,3,26
Odmar,25,0,25
Ody,10,15,25
Oksana,0,25,25
Owais,25,0,25
Obeth,24,0,24
Ofra,3,22,25
Okkina,0,24,24
Ola,3,21,24
Olivie,3,23,26
Otger,24,0,24
Othello,24,0,24
Ottie,5,19,24
Ottoliena,0,24,24
Otwin,24,0,24
Outger,24,0,24
Ozlem,0,24,24
Obi,18,5,23
Odair,22,3,25
Oesha,0,23,23
Orly,3,22,25
Oruç,23,0,23
Ottmar,23,0,23
Oumayya,0,23,23
Oanh,0,22,22
Occo,22,0,22
Odyle,0,22,22
Oemaima,0,22,22
Oliviera,3,20,23
Oluwatobi,17,5,22
Ouasim,22,0,22
Obispo,19,3,22
Octavio,21,0,21
Ohene,20,3,23
Oisín,21,0,21
Olyvia,0,21,21
Orianda,0,21,21
Osaretin,14,7,21
Othilda,0,21,21
Oubayda,21,0,21
Ouiame,0,21,21
Owin,21,0,21
Oluchi,3,18,21
Onslow,17,3,20
Osasere,10,10,20
Ouafaa,0,20,20
Odila,3,18,21
Odilio,19,0,19
Oedilia,0,19,19
Okker,19,0,19
Olamide,16,3,19
Oleta,3,18,21
Olphert,19,0,19
Olsen,16,3,19
Orelia,3,18,21
Orinda,0,19,19
Orpheus,19,0,19
Othmane,19,0,19
Ottje,0,19,19
Oana,0,18,18
Ocke,17,3,20
Octavus,16,3,19
Octofina,0,18,18
Oeble,18,0,18
Offe,18,0,18
Omke,18,0,18
Ossip,18,0,18
Ottine,0,18,18
Ouanis,18,0,18
Oceane,0,17,17
Odyl,3,15,18
Oebelina,0,17,17
Oegina,0,17,17
Oek,17,0,17
Ogechi,3,15,18
Okay,17,0,17
Olrik,16,3,19
Omolara,3,16,19
Ortillia,0,17,17
Othilia,0,17,17
O'Neill,12,3,15
Octaviana,0,16,16
Odulf,16,0,16
Odysseus,16,0,16
Oebel,16,0,16
Ofke,15,3,18
Ofosu,16,0,16
Oger,16,0,16
Oĝuzhan,16,0,16
Okki,9,7,16
Olavi,16,0,16
Oldrik,16,0,16
Olek,16,0,16
Olufemi,14,3,17
Omeed,16,0,16
Oreste,15,3,18
Oduro,8,7,15
Ogulcan,15,0,15
Olivera,3,14,17
Olli,14,3,17
Oluwadamilola,3,11,14
Oluwaseun,13,3,16
Omair,15,0,15
Oral,15,0,15
Orazio,15,0,15
Ori,13,3,16
Oriane,0,15,15
