Name,Men,Women,Total
Petrus,235306,3984,239290
Petronella,5933,208163,214096
Pieter,162390,366,162756
Peter,116440,1698,118138
Paul,53617,362,53979
Paulus,44849,492,45341
Patrick,40055,275,40330
Petra,255,35712,35967
Pieternella,62,30193,30255
Patricia,152,26959,27111
Paulina,472,24278,24750
Pascal,14332,1335,15667
Pauline,91,13776,13867
Paula,157,12880,13037
Pim,10245,141,10386
Pepijn,9273,15,9288
Pierre,8217,468,8685
Priscilla,18,8390,8408
Philip,8335,44,8379
Philippus,6793,56,6849
Piet,6283,75,6358
Philomena,547,4616,5163
Puck,353,4681,5034
Pietertje,13,5011,5024
Pietje,46,3995,4041
Paulien,8,3862,3870
Pien,5,3832,3837
Pleun,973,2303,3276
Peggy,77,2837,2914
Pietronella,25,2820,2845
Philippe,2273,44,2317
Pascalle,53,2087,2140
Pamela,6,2034,2040
Pascale,25,1707,1732
Pia,12,1575,1587
Perry,1515,24,1539
Patty,13,1466,1479
Pier,1475,3,1478
Philippina,9,1440,1449
Patricius,1321,41,1362
Pelle,1337,11,1348
Phileine,3,1262,1265
Paola,10,1199,1209
Pedro,1168,29,1197
Pieternel,32,1140,1172
Pip,98,1042,1140
Pleuntje,0,1108,1108
Puk,187,918,1105
Peternella,3,1096,1099
Pieterdina,0,961,961
Pieterke,0,943,943
Plechelmus,887,10,897
Pancratius,801,48,849
Philippine,3,805,808
Philomina,111,688,799
Philine,0,783,783
Pjotr,773,3,776
Pablo,740,5,745
Petertje,7,733,740
Pieta,3,707,710
Patrice,353,310,663
Popke,609,25,634
Pippa,3,630,633
Pam,10,595,605
Pius,550,11,561
Paulette,3,536,539
Petro,511,14,525
Plonia,0,518,518
Phoebe,3,492,495
Plechelma,0,491,491
Paolo,485,3,488
Pearl,25,447,472
Philippa,0,470,470
Philou,3,465,468
Priya,3,442,445
Paulo,424,13,437
Percy,406,12,418
Philomène,61,356,417
Paulinus,401,6,407
Petranella,10,394,404
Petri,56,345,401
Per,382,3,385
Poulina,3,363,366
Paco,345,3,348
Patric,341,3,344
Precious,11,329,340
Paschalis,297,33,330
Pleuni,3,329,332
Phillip,316,3,319
Peterus,310,7,317
Pinar,0,315,315
Poppe,293,10,303
Pietro,293,8,301
Pieter-Jan,293,3,296
Prisca,3,289,292
Pasquale,191,92,283
Piter,279,0,279
Phoenix,149,125,274
Phaedra,0,253,253
Popko,253,0,253
Poulus,252,0,252
Paris,47,200,247
Pricilla,3,246,249
Petronelle,8,238,246
Pancratia,3,242,245
Phil,207,37,244
Pooja,0,243,243
Phyllis,3,238,241
Prince,236,5,241
Peter-Paul,234,3,237
Pouwel,235,3,238
Pieke,124,110,234
Prosper,211,9,220
Pui,13,201,214
Penelope,0,209,209
Phylicia,0,208,208
Phebe,0,206,206
Petrina,3,203,206
Peterke,3,203,206
Piebe,199,3,202
Pilar,7,182,189
Pleunie,0,189,189
Phuong,25,159,184
Pol,180,3,183
Pauwel,181,0,181
Pernille,3,177,180
Philemon,167,10,177
Pelin,0,175,175
Peter-Jan,173,3,176
Peterina,0,174,174
Prudent,151,22,173
Prudentia,6,165,171
Putri,0,167,167
Penny,3,161,164
Petronilla,3,160,163
Pernilla,0,157,157
Perpetua,3,156,159
Pete,141,15,156
Philipp,153,3,156
Patrik,150,3,153
Philomene,22,129,151
Piotr,148,3,151
Petronel,26,121,147
Pietsje,3,146,149
Paige,3,143,146
Ping,66,74,140
Prashant,139,0,139
Pytsje,0,139,139
Pepita,0,137,137
Polle,129,6,135
Paddy,82,52,134
Paloma,0,131,131
Pom,40,91,131
Pancras,130,0,130
Peet,105,25,130
Putra,130,0,130
Perla,0,129,129
Pascalis,118,9,127
Pepe,123,3,126
Pippi,0,127,127
Poyraz,123,0,123
Pomme,6,116,122
Prescilla,3,121,124
Pax,106,14,120
Priyanka,0,120,120
Presley,79,39,118
Patrique,114,3,117
Pharrell,116,3,119
Patricio,111,5,116
Pauliene,3,115,118
Pijke,113,3,116
Petrie,14,101,115
Poppy,3,113,116
Preston,115,0,115
Popkje,0,113,113
Parker,102,9,111
