Name,Men,Women,Total
Quinten,7667,8,7675
Quinty,32,3406,3438
Quinn,3031,314,3345
Quirinus,2869,20,2889
Quincy,1876,935,2811
Quirina,10,1506,1516
Quint,1425,6,1431
Quirine,6,1354,1360
Quirijn,869,18,887
Quentin,793,3,796
Quin,588,23,611
Quintin,527,3,530
Quintus,392,3,395
Quinta,0,361,361
Quintijn,278,3,281
Quirien,64,113,177
Quang,132,3,135
Quoc,124,3,127
Quinton,115,3,118
Quido,113,0,113
Quincey,45,60,105
Qing,25,76,101
Quynh,3,95,98
Quinte,17,77,94
Queeny,3,92,95
Querijn,88,3,91
Queenie,0,87,87
Querine,0,76,76
Qasim,66,7,73
Quenten,71,0,71
Qian,33,37,70
Quirin,59,9,68
Querida,0,65,65
Quintina,3,48,51
Quintino,49,0,49
Quan,43,3,46
Quincent,45,0,45
Qadri,31,13,44
Quérine,0,44,44
Quiana,0,44,44
Qamar,17,24,41
Quince,37,3,40
Qiana,0,37,37
Quiryn,33,3,36
Qin,19,17,36
Quita,0,35,35
Quinlan,33,3,36
Queen,3,29,32
Quillan,29,0,29
Quinto,29,0,29
Quyen,8,21,29
Qwen,3,25,28
Quinne,0,26,26
Quinny,6,20,26
Quinsey,3,22,25
Qiang,24,3,27
Quinthe,0,25,25
Quino,24,0,24
Quirinius,24,0,24
Quintana,3,22,25
Qurinus,23,0,23
Quy,20,3,23
Quillermo,22,0,22
Qais,19,0,19
Qiu,7,12,19
Quintey,0,19,19
Quirino,19,0,19
Qiao,3,15,18
Qiara,0,18,18
Quintine,0,18,18
Qadir,17,0,17
Quico,17,0,17
Quirijna,0,17,17
Querina,0,16,16
Quinera,0,16,16
Quinsy,6,10,16
Quintano,15,0,15
Qurina,0,15,15
Qwin,13,3,16
Quinthy,3,13,16
Quirijne,0,14,14
Quanita,0,13,13
Querinus,13,0,13
Quillian,13,0,13
Quinthen,13,0,13
Quintinus,13,0,13
Qunera,0,13,13
Qays,12,0,12
Querido,11,3,14
Quinsley,12,0,12
Quintes,12,0,12
Quintyn,12,0,12
