Name,Men,Women,Total
Robert,86448,298,86746
Ronald,53029,191,53220
Richard,47397,280,47677
René,41064,790,41854
Robin,27291,8660,35951
Rudolf,30113,241,30354
Ruben,28094,28,28122
Roelof,27788,30,27818
Robertus,26199,219,26418
Roy,22551,183,22734
Rick,20488,31,20519
Regina,473,17756,18229
Remco,17848,18,17866
Raymond,16867,166,17033
Reinier,13701,99,13800
Rob,13686,106,13792
Rosa,315,12426,12741
Romy,44,12620,12664
Renate,74,11287,11361
Ricardo,11204,53,11257
Rosalie,171,10583,10754
Rianne,34,10471,10505
Robbert,10089,9,10098
Roel,9814,93,9907
Roland,9808,79,9887
Ryan,9555,107,9662
Renée,442,9037,9479
Rutger,9368,14,9382
Renske,11,9042,9053
Rebecca,39,8887,8926
Ramon,8858,29,8887
Rachel,96,8475,8571
Rik,8194,23,8217
Rens,7938,101,8039
Rogier,7766,20,7786
Roger,6497,346,6843
Ralph,6403,70,6473
Ruud,5952,73,6025
Ruth,594,5404,5998
Reinder,5813,3,5816
Roan,5344,93,5437
Roeland,5276,27,5303
Ronaldus,5166,68,5234
Ronny,4879,150,5029
Reina,7,4751,4758
Rosanne,9,4729,4738
Rudi,4460,174,4634
Ronnie,4495,87,4582
Rowan,3418,1060,4478
Roelofje,5,4446,4451
Rosalia,304,4146,4450
Rudy,4163,211,4374
Ramona,46,4114,4160
Roelf,3949,7,3956
Raoul,3884,44,3928
Roberto,3879,31,3910
Rose,23,3875,3898
Rita,181,3639,3820
Rudolph,3610,41,3651
Remko,3419,5,3424
Ria,91,3168,3259
Roxanne,5,3195,3200
Rolf,3180,14,3194
Richardus,3116,32,3148
Rinske,5,3048,3053
Remy,2822,155,2977
Randy,2810,143,2953
Rayan,2893,39,2932
Rein,2755,10,2765
Renee,516,2242,2758
Rudolphus,2687,24,2711
Ralf,2619,52,2671
Roelfina,5,2665,2670
Romano,2539,7,2546
Ron,2434,93,2527
Ricky,2271,243,2514
Rozemarijn,3,2430,2433
Renata,17,2405,2422
Rika,11,2374,2385
Rico,2369,10,2379
Robbie,2312,63,2375
Robbin,1951,382,2333
Ruurd,2279,3,2282
Ruby,66,2207,2273
Roderick,2265,3,2268
Rafaël,2156,75,2231
Rowena,12,2214,2226
Rafael,2108,25,2133
Renier,1986,131,2117
Rachelle,21,2037,2058
Rosita,28,2026,2054
Rosalina,108,1923,2031
Renzo,1986,3,1989
Reindert,1937,3,1940
Ravi,1881,57,1938
Romée,6,1915,1921
Reijer,1917,3,1920
Raphaël,1763,84,1847
Rinze,1823,3,1826
Remon,1795,3,1798
Renatus,1742,41,1783
Romana,11,1758,1769
Rosina,22,1747,1769
Reintje,56,1665,1721
Roelina,3,1701,1704
Rienk,1602,0,1602
Riley,1343,244,1587
Rosemarie,22,1548,1570
Raf,1533,7,1540
Robby,1514,21,1535
Raymon,1512,3,1515
Rosalinde,11,1500,1511
Rachid,1500,3,1503
Roberta,3,1483,1486
Reinout,1470,0,1470
Roelfien,5,1460,1465
Roosmarijn,3,1457,1460
Rixt,8,1443,1451
Ray,1371,68,1439
Roelie,31,1406,1437
Raimond,1397,11,1408
Rodney,1398,3,1401
Rian,297,1098,1395
Rebekka,3,1370,1373
Remi,1282,83,1365
Romeo,1337,3,1340
Robine,0,1337,1337
Roman,1309,16,1325
Reginald,1313,3,1316
Richelle,3,1286,1289
Rosanna,3,1250,1253
Reza,861,378,1239
Rudolfus,1222,13,1235
Rene,1142,91,1233
Roald,1215,0,1215
Romee,8,1202,1210
Richarda,13,1182,1195
Romke,1136,23,1159
Renze,1149,8,1157
Reinoud,1153,3,1156
Redouan,1136,0,1136
Reint,1128,0,1128
Roza,42,1086,1128
Rosan,11,1077,1088
Rina,17,1052,1069
Rutgerus,1036,14,1050
Roderik,1031,3,1034
Rabia,3,1027,1030
Rinse,1019,3,1022
Rinke,842,177,1019
Rhodé,3,1012,1015
Remigius,958,51,1009
Roelien,3,966,969
Rosalinda,7,958,965
Rana,20,944,964
Riemer,962,3,965
Robert-Jan,961,3,964
Raphael,925,31,956
Rinus,921,7,928
Rowin,878,35,913
Rohan,903,7,910
Rody,853,36,889
Reinerus,878,3,881
Riemke,3,880,883
Rense,838,14,852
Remmelt,835,3,838
Rochelle,3,830,833
Rémon,827,3,830
Robyn,35,781,816
Reinhard,765,8,773
Raquel,6,758,764
Rudie,722,42,764
Rinaldo,740,3,743
Ramón,737,3,740
Rachida,0,737,737
Rilana,11,725,736
Reda,720,14,734
Rania,0,729,729
Reinardus,720,3,723
Ryanne,3,714,717
Roelfiena,3,713,716
Rients,709,3,712
Rokus,698,3,701
Rocco,697,3,700
Ramses,684,3,687
Romkje,0,679,679
Ramazan,675,3,678
Ronan,667,5,672
Rijkje,3,667,670
Rosaline,16,650,666
Rosemarijn,0,662,662
Raymundus,649,12,661
Rory,599,61,660
Roemer,639,8,647
Ronja,0,647,647
Rochus,623,19,642
Roosje,3,634,637
Roswitha,12,624,636
Reiniera,6,626,632
