Name,Men,Women,Total
Simon,35479,143,35622
Sophia,746,34670,35416
Sophie,302,34398,34700
Sebastiaan,33931,71,34002
Sander,30991,43,31034
Sanne,445,30539,30984
Sandra,160,30023,30183
Simone,96,24824,24920
Stefan,24147,51,24198
Saskia,81,23140,23221
Suzanne,136,22794,22930
Sylvia,104,20021,20125
Sara,14,17393,17407
Sven,17330,30,17360
Sjoerd,16669,16,16685
Sem,15930,600,16530
Stijn,16241,42,16283
Sam,12163,3592,15755
Steven,15201,16,15217
Sarah,18,14580,14598
Susanna,145,13940,14085
Sonja,83,13275,13358
Sabine,40,11623,11663
Sharon,83,11521,11604
Stephanie,59,11544,11603
Suzanna,132,11375,11507
Susanne,94,11275,11369
Sofie,20,10476,10496
Samantha,31,10321,10352
Stephan,10074,37,10111
Stephanus,9966,85,10051
Stan,9725,19,9744
Samuel,9026,24,9050
Susan,50,7453,7503
Silvia,68,7367,7435
Senna,2321,4710,7031
Sterre,60,6683,6743
Sabrina,29,6369,6398
Sofia,82,6088,6170
Stefanie,25,6003,6028
Stef,5715,22,5737
Sietske,13,5384,5397
Sjoukje,3,5285,5288
Shirley,41,4918,4959
Siem,4870,20,4890
Saar,3,4544,4547
Stefanus,4385,42,4427
Sebastian,4124,10,4134
Suzan,29,3992,4021
Sjors,3587,291,3878
Suze,10,3712,3722
Soraya,5,3716,3721
Silke,112,3530,3642
Sacha,716,2527,3243
Stella,30,3194,3224
Sietse,3196,9,3205
Samuël,3117,3,3120
Sil,2973,142,3115
Sandy,212,2831,3043
Sabina,24,2944,2968
Selma,11,2907,2918
Siebe,2881,5,2886
Sylvana,8,2842,2850
Selina,6,2734,2740
Sascha,669,2024,2693
Samira,3,2648,2651
Sebastianus,2610,17,2627
Silvester,2544,79,2623
Sigrid,6,2607,2613
Serena,9,2408,2417
Suus,10,2295,2305
Stijntje,6,2193,2199
Serge,2148,16,2164
Servatius,1939,208,2147
Sean,2121,8,2129
Stefano,2121,7,2128
Shannon,106,2000,2106
Sibilla,255,1740,1995
Stanley,1981,3,1984
Silvana,14,1955,1969
Sipke,1959,8,1967
Senn,1907,9,1916
Sylvester,1898,18,1916
Sidney,1559,344,1903
Scott,1861,8,1869
Sharona,7,1857,1864
Sietze,1829,3,1832
Sepp,1752,0,1752
Seth,1752,0,1752
Sybren,1730,3,1733
Sten,1703,3,1706
Sjouke,1613,89,1702
Samir,1661,26,1687
Sep,1677,6,1683
Sarina,11,1636,1647
Senne,927,710,1637
Sheila,3,1608,1611
Sami,1576,28,1604
Sijtske,3,1579,1582
Selena,3,1575,1578
Stéphanie,8,1501,1509
Stacey,65,1363,1428
Stephen,1402,3,1405
Shane,1349,45,1394
Sake,1386,3,1389
Sergio,1367,8,1375
Salma,3,1330,1333
Sijmen,1326,3,1329
Sijke,3,1299,1302
Shanna,3,1263,1266
Stientje,3,1245,1248
Sijtze,1232,6,1238
Sylvie,12,1197,1209
Savannah,3,1195,1198
Siebren,1179,3,1182
Shania,3,1170,1173
Siham,0,1144,1144
Said,1046,64,1110
Saartje,3,1092,1095
Sytske,3,1078,1081
Sverre,1055,15,1070
Sijgje,3,1068,1071
Steve,1039,10,1049
Sammy,560,475,1035
Silvan,1025,3,1028
Steffen,1010,3,1013
Servaas,953,57,1010
Siemen,995,3,998
Simeon,990,6,996
Sijbren,995,0,995
Safae,0,994,994
Sonny,974,20,994
Sanna,7,986,993
Stein,961,16,977
Sienna,3,956,959
Semih,959,0,959
Selin,3,927,930
Sjaak,912,10,922
Sandrina,5,909,914
Sikke,906,3,909
Sybilla,77,830,907
Saakje,3,898,901
Swen,891,7,898
Sytze,897,0,897
Salomon,870,0,870
Sydney,469,400,869
Soufiane,859,0,859
Skye,205,632,837
Salomé,7,829,836
Stanislaus,768,37,805
Simona,8,781,789
Sijbrand,779,3,782
Sieger,778,3,781
Solange,9,769,778
Soumaya,0,776,776
Silas,763,3,766
Sabrine,0,760,760
Sjoerdtje,0,754,754
Siegfried,738,7,745
Silvano,741,3,744
Steijn,740,3,743
Sifra,0,740,740
Sebastiana,12,723,735
Sientje,3,732,735
Selim,732,0,732
Sanae,0,727,727
Shanice,0,725,725
Salim,697,14,711
Sultan,103,608,711
Silvie,9,697,706
Sita,5,700,705
Serkan,697,0,697
Steffie,21,671,692
Sena,15,673,688
Sytse,679,3,682
Sasja,47,626,673
Sebas,669,3,672
Steffan,657,3,660
Sibel,3,650,653
Sasha,259,388,647
Sijtje,3,636,639
Sjoerdje,0,637,637
Steyn,635,0,635
Sana,6,628,634
Sky,332,289,621
Sybrand,609,3,612
Sien,19,591,610
Sandor,607,3,610
Salih,596,7,603
Seb,591,0,591
Seline,3,583,586
Steef,577,9,586
Stoffelina,0,576,576
Samet,569,0,569
Silvijn,564,3,567
Sija,3,566,569
Summer,6,557,563
Soufian,559,0,559
Stoffer,556,3,559
Sjef,539,11,550
Shanaya,0,546,546
Shelley,3,536,539
Salima,0,536,536
Sicco,534,3,537
Safouan,534,0,534
Saloua,0,534,534
Sue,12,522,534
Soufyan,525,3,528
Sef,521,5,526
Shivani,3,524,527
Stephania,12,514,526
Siebrigje,0,516,516
Sammie,136,375,511
Shannen,3,509,512
Sina,60,449,509
Seppe,505,3,508
Sinan,502,3,505
Skip,499,3,502
Sandro,496,3,499
Severinus,487,11,498
Siënna,3,491,494
Salvatore,481,9,490
Shanti,23,466,489
Siep,475,13,488
Suzette,3,487,490
Sybe,487,0,487
Serdar,482,0,482
Siebrand,482,0,482
Seraphina,14,462,476
Singh,442,32,474
Siemon,466,3,469
Sijbe,467,3,470
Stoffel,468,0,468
Sierd,463,3,466
Sinem,0,464,464
Siena,3,454,457
Silvio,450,3,453
Sally,20,432,452
Safouane,450,3,453
Sylvano,449,0,449
Shakira,0,445,445
Sema,3,441,444
Sharina,3,443,446
Sylke,5,439,444
Sari,6,437,443
Shaquille,429,10,439
Stephana,3,436,439
Saida,3,437,440
Sijbrigje,0,438,438
Safa,102,335,437
Sieb,428,6,434
Süleyman,429,0,429
Stephany,3,425,428
Siska,3,420,423
Sylvan,422,0,422
Sude,0,421,421
Sylvain,410,8,418
Sanneke,0,412,412
Sipkje,3,411,414
Scarlett,3,405,408
Steffi,3,403,406
Sijtse,404,3,407
Sanjay,397,3,400
Shawn,382,16,398
Saapke,0,396,396
Sjuul,250,144,394
Stuart,383,5,388
Sjirk,385,3,388
Sherida,0,380,380
Stacy,35,345,380
Shelly,8,371,379
Souhaila,0,377,377
Steffanie,3,374,377
Sierk,372,3,375
Sieuwke,16,359,375
Seda,3,372,375
Sibylla,20,354,374
Santino,372,3,375
Sharif,347,20,367
Salvador,359,6,365
Souad,0,363,363
Shiva,278,82,360
Salina,0,358,358
Saphira,0,354,354
Seher,0,353,353
Stefania,3,350,353
Sid,339,12,351
Santiago,337,12,349
Sunny,215,134,349
San,177,170,347
Schelte,346,0,346
Sikko,345,3,348
Samia,0,345,345
Sabri,329,15,344
Spencer,329,15,344
Serhat,342,3,345
Symen,340,0,340
Skyler,209,129,338
Soumia,0,334,334
Sije,329,3,332
Silver,177,155,332
Skylar,79,252,331
Servatia,8,320,328
Sieta,0,327,327
Safia,3,325,328
Sofyan,324,3,327
Siert,323,0,323
Soukaina,0,323,323
Sjieuwke,18,300,318
Sefa,286,28,314
Sieds,307,3,310
Semra,0,308,308
Sabien,3,304,307
Steventje,0,305,305
Serra,3,299,302
Sevda,0,301,301
Sümeyye,0,300,300
Sevgi,0,299,299
Sonia,3,296,299
Suraya,0,297,297
Saffira,0,295,295
Saïd,290,3,293
Safira,3,289,292
Sharmila,0,290,290
Semmy,175,114,289
Sefanja,84,202,286
Stevie,147,136,283
Silva,82,199,281
Stephano,279,0,279
Shirly,3,276,279
Sindy,3,274,277
Safiya,0,277,277
Seine,276,3,279
Silvy,5,271,276
Samanta,3,274,277
Sabir,273,0,273
Shari,3,271,274
Serina,0,272,272
Sharita,3,270,273
Sjerp,269,0,269
Sanjana,0,268,268
Serap,0,267,267
Sakina,0,264,264
Sera,3,262,265
Stanislaw,257,6,263
Sevim,3,259,262
Saliha,0,259,259
Sape,259,0,259
Sezer,254,5,259
Shana,0,257,257
Salome,6,250,256
Samed,256,0,256
Sabah,15,240,255
Shreya,0,255,255
Suraj,253,3,256
Samara,0,254,254
Sharissa,0,254,254
Seger,252,3,255
Savanna,0,250,250
Suzie,0,250,250
Selda,3,248,251
Svenja,3,246,249
Stiena,0,248,248
Sen,215,32,247
Shalini,0,246,246
Sybrandus,245,3,248
Selçuk,245,0,245
Serafina,3,243,246
Sebastien,241,3,244
Sanderina,0,241,241
Sare,3,239,242
Sahar,3,237,240
Sibbeltje,3,236,239
Syb,232,3,235
Sia,3,229,232
Steff,230,3,233
Simran,8,224,232
Salah,195,36,231
Suzy,3,230,233
Sade,3,226,229
Stevelina,0,228,228
Shireen,3,226,229
Santina,3,224,227
Sietje,0,226,226
Sarai,3,224,227
Sébastien,225,0,225
Sijmon,225,0,225
Sandrine,0,223,223
Sinne,45,177,222
Sarissa,0,220,220
Souraya,0,220,220
Salaheddine,219,0,219
Serpil,0,218,218
Sarita,0,216,216
Sijbrandus,215,3,218
Souhail,216,0,216
Severina,7,208,215
Sweder,215,0,215
Sharma,191,23,214
Sjoert,214,0,214
Susannah,5,209,214
Sebilla,7,206,213
Selwyn,210,3,213
Shaun,206,3,209
Shelby,8,201,209
Siebolt,208,0,208
Sipko,208,0,208
Sannah,0,206,206
Shenna,3,203,206
