Name,Men,Women,Total
Theodorus,130615,946,131561
Theodora,1257,96312,97569
Theresia,3441,64502,67943
Thomas,61350,400,61750
Tim,32556,57,32613
Trijntje,14,27134,27148
Tom,25091,50,25141
Thijs,23851,24,23875
Teunis,20380,10,20390
Theodoor,16792,144,16936
Tessa,13,16351,16364
Tamara,81,15190,15271
Teun,10862,114,10976
Theo,10159,172,10331
Tess,10,10221,10231
Timo,8992,12,9004
Teuntje,20,7722,7742
Thijmen,7490,3,7493
Tobias,7195,9,7204
Tijn,7132,36,7168
Ties,5871,12,5883
Tijmen,5785,0,5785
Tanja,43,5664,5707
Tygo,5666,3,5669
Twan,5490,14,5504
Tristan,5398,6,5404
Tjeerd,5393,3,5396
Tjitske,13,5338,5351
Thea,76,4885,4961
Tineke,9,4871,4880
Timothy,4778,22,4800
Thérèse,147,4229,4376
Thom,4351,3,4354
Tara,10,3643,3653
Tycho,3606,5,3611
Theadora,82,3222,3304
Trientje,3,3124,3127
Tine,13,3107,3120
Tijs,3028,3,3031
Tjerk,2779,3,2782
Tonia,10,2705,2715
Tommy,2617,40,2657
Titia,3,2463,2466
Timotheus,2394,14,2408
Theodor,2373,16,2389
Tomas,2308,11,2319
Tonny,1452,777,2229
Thirza,0,2165,2165
Thijn,2088,5,2093
Talitha,3,1927,1930
Tiny,145,1762,1907
Timon,1838,3,1841
Theresa,41,1793,1834
Tiemen,1806,0,1806
Tamar,73,1683,1756
Tony,1512,182,1694
Titus,1667,23,1690
Tannetje,3,1616,1619
Theunis,1613,3,1616
Tjalling,1592,3,1595
Taco,1569,3,1572
Taeke,1566,3,1569
Tirza,3,1564,1567
Thierry,1531,18,1549
Tietje,0,1474,1474
Teuna,0,1426,1426
Truus,28,1363,1391
Therese,67,1307,1374
Tarik,1346,5,1351
Teresa,11,1233,1244
Theodore,814,339,1153
Thecla,23,1122,1145
Trudy,11,1130,1141
Tieme,1139,3,1142
Tina,12,1097,1109
Timotheüs,1088,3,1091
Tetje,3,1077,1080
Teresia,29,1046,1075
Tiffany,6,1037,1043
Thimo,1023,0,1023
Ted,929,63,992
Tyler,957,19,976
Therèse,40,921,961
Tabitha,0,960,960
Teije,955,3,958
Terence,895,16,911
Tonnis,897,3,900
Toby,846,26,872
Teunisje,3,868,871
Tecla,6,854,860
Tessel,32,823,855
Terry,601,233,834
Tigo,808,0,808
Toine,792,16,808
Talha,801,0,801
Tjibbe,796,3,799
Tosca,3,791,794
Tatjana,10,783,793
Tyrone,770,3,773
Tinus,759,7,766
Timmy,742,21,763
Tibbe,747,3,750
Tommie,717,16,733
Tijl,727,3,730
Tonnie,444,284,728
Troy,690,11,701
Tatiana,3,696,699
Teddy,243,452,695
Taha,678,10,688
Tatum,3,677,680
Tjebbe,673,0,673
Tini,24,642,666
Thessa,3,656,659
Thymen,630,0,630
Tilly,26,592,618
Thi,13,600,613
Tanneke,0,595,595
Tjipke,578,17,595
Tuana,7,578,585
Tammo,566,0,566
Tjitte,560,3,563
Thies,556,0,556
Tino,518,3,521
Thije,517,3,520
Thera,6,505,511
Tamme,504,0,504
Tanisha,0,496,496
Tije,491,5,496
Tibor,494,0,494
Teunie,3,492,495
Trude,3,489,492
Tuur,490,3,493
Tanya,3,489,492
Toos,22,462,484
Timme,464,12,476
Thamar,17,453,470
Tolga,449,3,452
Teuni,9,441,450
Tuğba,0,449,449
Thanh,244,195,439
Thalia,0,430,430
Taetske,0,425,425
Theophilus,397,23,420
Tona,3,412,415
Teake,412,0,412
Tjarda,72,339,411
Toni,297,114,411
Tea,3,376,379
Tjitze,377,0,377
Tinie,10,365,375
Teatske,0,374,374
Taede,369,3,372
Trijnie,0,370,370
Thiago,364,0,364
Trevor,363,0,363
Tabe,356,5,361
Thelma,0,361,361
Trinette,33,322,355
Tren,353,0,353
Truida,3,350,353
Thorsten,343,5,348
Tooske,3,346,349
Thijme,345,0,345
Tariq,336,8,344
Ting,68,276,344
Tiago,339,3,342
Theun,325,3,328
Taylor,119,205,324
Thirsa,0,319,319
Tiara,0,316,316
Terrence,312,3,315
Thekla,9,305,314
Tjeu,303,5,308
Tymen,308,0,308
Tesse,40,261,301
Tyson,295,3,298
Thieme,296,0,296
Thamara,3,286,289
Theophile,244,44,288
Thor,286,0,286
Trudi,3,281,284
Tamira,3,279,282
Thymo,280,0,280
Toussaint,221,53,274
Truusje,3,272,275
Tinka,0,272,272
Tyrell,267,3,270
Tijme,261,3,264
Timur,262,0,262
Tristen,252,10,262
Tjalle,258,3,261
Tania,3,256,259
Tyrese,255,3,258
Teus,251,6,257
Tjakko,255,0,255
Tjerkje,0,255,255
Tyra,0,255,255
Tettje,3,253,256
Tarcisius,239,6,245
Tjark,243,3,246
Trees,8,235,243
Tjaard,239,3,242
Tamer,232,7,239
Thaddeus,233,5,238
Tjaltje,0,238,238
Tymo,238,0,238
Tjitse,235,0,235
Trienke,0,235,235
Tiede,231,3,234
Tiddo,232,3,235
Tobi,223,9,232
Tyron,232,0,232
Thiemo,229,3,232
Tekla,3,226,229
Tirsa,3,227,230
Turan,228,0,228
Thona,0,224,224
Tahir,215,8,223
Tiete,159,64,223
Tuğçe,0,223,223
Tayfun,222,0,222
Terra,3,219,222
Tugba,0,217,217
Tülay,0,216,216
Tuba,0,214,214
Taner,209,3,212
Theophiel,178,28,206
Timen,205,0,205
Thalita,3,202,205
Tryntsje,0,199,199
Travis,193,5,198
Trudie,3,196,199
Tes,3,192,195
Tunahan,195,0,195
Tasnim,3,191,194
Thobias,192,3,195
Toosje,0,193,193
Tjeert,190,3,193
Taoufik,190,0,190
Thuy,8,180,188
Théodore,170,15,185
Tico,183,3,186
Tufan,185,0,185
Tako,182,3,185
Teddie,8,175,183
Teuny,3,178,181
Take,179,3,182
Thorben,180,0,180
Tiamo,151,28,179
Tuncay,179,0,179
Tjaart,175,0,175
Tiana,0,174,174
Tijtje,0,173,173
Tahnee,3,170,173
Tallina,0,172,172
Taylan,171,3,174
Tessy,3,169,172
Trisha,0,169,169
Talia,0,168,168
Tonko,164,0,164
Tobin,161,3,164
Torsten,162,3,165
Talita,0,161,161
Teo,158,0,158
Tibo,158,0,158
Thyra,0,157,157
Ticho,157,0,157
Trea,3,156,159
Truitje,0,156,156
Timothea,3,153,156
Tjaaktje,0,155,155
Tarek,140,14,154
Tomás,152,3,155
Theuntje,0,153,153
Thys,153,0,153
Tjimkje,0,153,153
Teske,3,151,154
