Name,Men,Women,Total
Ursula,43,3068,3111
Umut,596,6,602
Udo,563,3,566
Uilke,464,3,467
Uilkje,0,412,412
Ulbe,389,3,392
Ulrich,360,3,363
Uğur,300,3,303
Ursela,6,260,266
Ufuk,251,3,254
Ulrike,3,225,228
Uma,3,218,221
Umberto,185,3,188
Ugur,184,0,184
Urbanus,141,5,146
Ulco,140,0,140
Ubbo,127,3,130
Uriël,104,18,122
Ubel,119,0,119
Utku,93,3,96
Uiltje,92,3,95
Umar,78,6,84
Ulaş,77,0,77
Ulfert,75,0,75
Usha,0,73,73
Ulla,3,67,70
Urbain,61,9,70
Una,0,64,64
Urmila,0,64,64
Umeyr,59,0,59
Umit,59,0,59
Ugo,56,3,59
Ubaldus,55,3,58
Usman,55,0,55
Ursila,0,54,54
Ulrik,52,0,52
Uwe,48,3,51
Uschi,3,50,53
Uco,48,0,48
Ulrika,3,46,49
Urvin,44,0,44
Ulke,40,3,43
Uri,41,0,41
Urwin,40,0,40
Ursulina,3,34,37
Uko,35,0,35
Urban,35,0,35
Uyen,0,34,34
Ulrica,3,32,35
Ulbo,32,0,32
Unico,32,0,32
Uliana,0,31,31
Umesh,29,3,32
Undine,0,31,31
Uuldrik,30,3,33
Urias,30,0,30
Uilkjen,0,29,29
Ummigje,0,29,29
Ursinus,24,3,27
Ute,0,28,28
Ubele,27,0,27
Uhud,26,3,29
Uipko,27,0,27
Urselina,3,26,29
Umran,5,21,26
Urbana,0,26,26
Uĝur,25,0,25
Ulysses,23,3,26
Ursul,24,3,27
Usama,21,3,24
Ubelina,0,24,24
Umair,23,3,26
Uriel,19,5,24
Urszula,0,24,24
Umutcan,23,0,23
Ursus,23,0,23
Ubo,22,0,22
Uilko,22,0,22
Ulkje,0,22,22
Unique,5,17,22
Ursel,8,14,22
Unia,0,21,21
Uzair,21,0,21
Uberto,19,3,22
Ulas,20,0,20
Ubeydullah,19,0,19
Uchenna,13,6,19
Uitze,19,0,19
Ulric,19,0,19
Unice,3,18,21
Urania,3,18,21
Uriah,17,3,20
Ursina,0,19,19
Uyiosa,12,7,19
Uzma,0,19,19
Ubalda,0,18,18
Ula,3,17,20
Ulanda,0,18,18
Uta,5,13,18
Uday,17,0,17
Uldrik,17,0,17
Ulko,17,0,17
Uke,3,14,17
Uno,16,0,16
Ursule,0,16,16
Uulkje,0,16,16
Ulricus,15,0,15
Umay,0,15,15
Umayma,0,15,15
Uras,15,0,15
Urmina,0,15,15
Umaima,0,14,14
Umer,10,3,13
