Name,Men,Women,Total
Vincent,24805,80,24885
Vera,58,14324,14382
Victor,12512,129,12641
Veronica,124,7768,7892
Valentijn,6820,53,6873
Victoria,31,6127,6158
Veerle,10,5601,5611
Valerie,41,5066,5107
Vince,4606,5,4611
Vincentius,4031,51,4082
Vanessa,7,3871,3878
Vivian,143,3680,3823
Veronique,64,3575,3639
Valentina,12,2229,2241
Valentino,2115,6,2121
Virginia,60,2009,2069
Valérie,12,1323,1335
Véronique,14,1177,1191
Viola,3,1147,1150
Vigo,1068,0,1068
Vajèn,3,1007,1010
Viktor,993,12,1005
Viggo,994,0,994
Virginie,71,847,918
Verena,3,899,902
Valentine,99,782,881
Vivianne,14,805,819
Victorine,18,786,804
Vivienne,3,764,767
Vicky,29,711,740
Virgil,720,16,736
Volkert,697,3,700
Vanity,3,664,667
Vienna,3,660,663
Vlinder,3,552,555
Victorina,31,520,551
Viënna,3,546,549
Verona,5,541,546
Vincenzo,524,6,530
Volkan,525,0,525
Vic,495,6,501
Valentin,468,17,485
Vita,8,474,482
Valery,34,418,452
Valeria,3,443,446
Vinz,431,0,431
Viviane,7,422,429
Vesper,75,352,427
Victoire,19,387,406
Violet,3,393,396
Vito,394,0,394
Vere,3,359,362
Valesca,0,338,338
Vayèn,0,323,323
Veronika,10,307,317
Vincentia,3,313,316
Vladimir,298,3,301
Violetta,3,294,297
Valentinus,287,8,295
Vik,294,3,297
Viviana,3,280,283
Vinn,278,0,278
Vinnie,265,11,276
Vasco,273,0,273
Vinay,266,3,269
Valerio,261,0,261
Violette,3,250,253
Vieve,0,248,248
Viviënne,3,244,247
Vijay,237,0,237
Vivien,9,221,230
Vikash,225,0,225
Veere,3,221,224
Vinny,207,3,210
Vittorio,208,0,208
Vernon,201,5,206
Vroukje,0,205,205
Valencia,6,198,204
Vrouwkje,0,204,204
Viktoria,0,199,199
Vayen,0,198,198
Van,135,59,194
Valeska,0,193,193
Vanja,27,154,181
Vayenne,0,181,181
Veron,142,36,178
Vida,7,167,174
Veli,168,3,171
Vive,0,167,167
Vianne,0,164,164
Viënne,0,164,164
Vico,161,3,164
Vishal,155,0,155
Virgenie,26,128,154
Varsha,0,153,153
Vrouwtje,0,147,147
Viona,3,143,146
Vicente,136,3,139
Vinesh,135,0,135
Viresh,134,0,134
Verginia,3,128,131
Vinod,130,0,130
Veroniek,3,127,130
Valencio,127,0,127
Veysel,127,0,127
Varisha,0,121,121
Vandana,0,118,118
Vidar,113,0,113
Vitalis,104,7,111
Vonne,3,108,111
Vittoria,0,107,107
Vitus,102,3,105
Valéry,22,83,105
Vajen,3,103,106
Veronie,0,103,103
Vinanda,0,99,99
Valente,48,49,97
Vinh,88,9,97
Vanya,29,67,96
Valerius,92,3,95
Vienne,0,95,95
Vildan,3,91,94
Volker,88,3,91
Veda,3,89,92
Vishnu,91,0,91
Vanita,0,89,89
Viet,74,12,86
Viviën,3,80,83
Vivi,0,83,83
Venna,3,81,84
Veroni,3,81,84
Vedat,80,3,83
Vaya,0,79,79
Virgilio,79,0,79
Varun,77,3,80
Victorien,5,73,78
Vincenza,0,77,77
Vishaal,73,3,76
Vidya,3,72,75
Vanisha,0,72,72
Vesna,0,72,72
Vibeke,0,72,72
Violeta,0,71,71
Vosse,41,29,70
Valdemar,69,0,69
Vayenn,0,69,69
Venne,7,61,68
Venessa,0,67,67
Vital,61,6,67
Vincente,49,17,66
Venice,0,65,65
Vannessa,3,62,65
Vallery,0,62,62
Virgilia,0,62,62
Vianney,42,19,61
Veneranda,3,56,59
Vallerie,3,58,61
Vayenna,0,59,59
Virgill,59,0,59
Viènna,0,58,58
