Name,Men,Women,Total
Wilhelmina,4555,290018,294573
Willem,224699,529,225228
Wilhelmus,219073,2592,221665
Wouter,37180,45,37225
Willemina,36,34690,34726
Wendy,171,20834,21005
Wesley,14348,51,14399
Wilhelm,14130,108,14238
Willy,3343,10320,13663
William,13388,102,13490
Willemijn,11,13478,13489
Wilma,57,10447,10504
Wessel,8927,5,8932
Walter,8257,112,8369
Wim,6480,92,6572
Willibrordus,6460,95,6555
Willempje,9,5362,5371
Wiebe,5096,7,5103
Wietske,5,5067,5072
Willemijntje,0,4805,4805
Wijnand,4488,19,4507
Waltherus,4282,56,4338
Werner,3749,83,3832
Wout,3699,8,3707
Willemien,11,3600,3611
Wolter,3548,8,3556
Wilco,3426,11,3437
Wijnanda,7,3396,3403
Wilhelmine,40,2960,3000
Willebrordus,2854,18,2872
Wietse,2477,11,2488
Wouterus,2454,21,2475
Wilfred,2423,14,2437
Willeke,5,2266,2271
Wieger,2146,3,2149
Wanda,15,2046,2061
Willie,425,1456,1881
Willemke,9,1833,1842
Woutera,14,1768,1782
Wouterina,5,1748,1753
Wietze,1730,3,1733
Wilbert,1662,18,1680
Wendelina,23,1635,1658
Walterus,1555,29,1584
Wijnandus,1371,14,1385
Wilfried,1270,36,1306
Ward,1298,6,1304
Wieke,17,1274,1291
Walthera,22,1251,1273
Wicher,1248,3,1251
Wies,51,1152,1203
Wilhelma,10,1156,1166
Woutrina,24,1123,1147
Willemtje,0,1098,1098
Wijntje,3,1079,1082
Wijtske,0,1056,1056
Willibrord,1015,28,1043
Winston,1032,3,1035
Wai,571,318,889
Welmoed,12,847,859
Wytze,846,0,846
Woutherus,802,7,809
Wendela,8,797,805
Wilko,802,3,805
Wing,383,412,795
Walid,779,14,793
Wilhelmien,31,748,779
Wytske,0,779,779
Wijtze,761,0,761
Wijbe,759,3,762
Warner,751,5,756
Wiebren,745,0,745
Wolf,729,10,739
Wander,735,3,738
Whitney,8,713,721
Walther,698,18,716
Wil,300,411,711
Willemine,3,699,702
Wes,645,3,648
Wesselina,3,646,649
Willem-Jan,643,0,643
Wisse,633,8,641
Wiepkje,0,635,635
Winnifred,58,563,621
Wybe,594,3,597
Wopke,533,61,594
Wolfgang,557,13,570
Wiesje,3,567,570
Winand,511,36,547
Winfried,534,5,539
Wouthera,5,524,529
Wytse,522,3,525
Willibrorda,3,514,517
Wieteke,3,501,504
Wimke,20,482,502
Winandus,441,52,493
Willianne,0,490,490
Wilfridus,483,3,486
Wassim,486,0,486
Wende,3,484,487
Wichert,483,0,483
Wendeline,6,468,474
Winanda,3,462,465
Winnie,25,417,442
Wilmar,416,24,440
