Name,Men,Women,Total
Yvonne,420,53487,53907
Yvette,38,7195,7233
Yara,3,5810,5813
Yannick,5433,139,5572
Yolanda,42,5118,5160
Youri,4734,14,4748
Yasmine,3,2718,2721
Yasmin,7,2543,2550
Yusuf,2403,36,2439
Yassine,2412,3,2415
Youssef,2334,11,2345
Younes,1803,3,1806
Yasmina,0,1791,1791
Yfke,0,1749,1749
Yasin,1643,13,1656
Yorick,1634,0,1634
Yuri,1527,12,1539
Yves,1497,42,1539
Yolande,8,1529,1537
Youssra,0,1509,1509
Yassin,1375,9,1384
Yvo,1279,13,1292
Yentl,58,1107,1165
Yoeri,1139,6,1145
Yasemin,0,990,990
Yvon,162,788,950
Ymke,33,901,934
Yunus,915,3,918
Yassir,910,3,913
Yoran,907,3,910
Yaël,283,528,811
Yuna,7,800,807
Yinthe,0,719,719
Yordi,674,5,679
Yenthe,16,645,661
Yee,39,617,656
Youp,640,0,640
Ymkje,0,628,628
Yan,183,437,620
Yin,257,355,612
Yke,282,312,594
Ying,90,497,587
Ype,564,3,567
Yael,106,444,550
Yoni,161,371,532
Yme,496,16,512
Yaren,8,497,505
Yahya,499,3,502
Yousra,0,495,495
Yente,20,466,486
Yanick,448,35,483
Yari,464,6,470
Ytje,3,455,458
Yana,3,434,437
Yiğit,420,0,420
Ylva,3,410,413
Yasmijn,0,409,409
Yoram,401,3,404
Yvet,3,376,379
Yvar,355,0,355
Ysbrand,333,3,336
Yade,3,328,331
Yavuz,331,3,334
Ynze,329,3,332
Yaron,320,3,323
Ylona,0,309,309
Yash,279,0,279
Yde,277,3,280
Yeliz,0,272,272
Ylse,0,266,266
Yda,3,262,265
Yousef,252,8,260
Yann,251,8,259
Yaro,254,3,257
Yağmur,3,243,246
Yarah,0,243,243
Yuen,81,161,242
Yakup,238,0,238
Yildiz,3,235,238
Yarno,229,0,229
Yvan,226,3,229
Yilmaz,226,3,229
Yoshua,227,0,227
Yanniek,132,92,224
Yigit,224,0,224
Ynske,3,219,222
Yasir,216,3,219
Ynskje,0,218,218
Yen,42,175,217
Yrsa,3,215,218
Yasser,202,13,215
Yori,182,33,215
Yang,129,85,214
Ynte,197,13,210
Yaniek,157,49,206
Yvanka,0,206,206
Yannic,197,6,203
Yessin,202,0,202
Yoëlle,0,201,201
Yorrick,200,0,200
Yamina,0,192,192
Yousri,190,0,190
Yaşar,180,7,187
Yong,154,28,182
Yoël,169,8,177
Yun,79,98,177
Yanna,0,174,174
Yusra,0,174,174
Yessica,0,164,164
Yoshi,129,30,159
Yvana,0,158,158
Ylana,0,156,156
Youandi,44,112,156
Yolanthe,0,149,149
Ybeltje,0,145,145
Yuan,99,46,145
Yiu,104,37,141
Yip,108,29,137
Yelena,0,134,134
Yeşim,0,133,133
Yao,78,54,132
Yanaika,3,130,133
Yanou,16,114,130
Yaw,129,0,129
Yue,52,75,127
Yuk,36,86,122
Ytsje,0,118,118
Yinte,3,115,118
Youness,112,0,112
Yesse,106,5,111
Yoëll,94,14,108
Ytzen,108,0,108
