Name,Men,Women,Total
Zoë,81,11551,11632
Zwaantje,3,3407,3410
Zakaria,2213,5,2218
Zeynep,0,1979,1979
Zara,3,1740,1743
Zehra,3,1299,1302
Zahra,3,1218,1221
Zeger,1084,3,1087
Zoey,28,887,915
Zacharias,803,5,808
Ziva,3,575,578
Zainab,0,570,570
Zita,3,535,538
Zwaantina,0,515,515
Zohra,3,497,500
Zion,450,28,478
Zeno,435,3,438
Ziggy,354,76,430
Zwier,410,3,413
Zarah,0,401,401
Zayn,383,3,386
Zümra,0,331,331
Zeliha,0,300,300
Zefanja,146,144,290
Zwanette,0,287,287
Zeb,273,3,276
Zina,0,274,274
Zoé,7,265,272
Zayd,269,0,269
Zaid,256,3,259
Zineb,0,256,256
Zakariya,234,3,237
Zeyneb,0,234,234
Zino,230,3,233
Zora,3,228,231
Zico,214,0,214
Zenna,29,177,206
Zola,22,171,193
Zippora,3,189,192
Zwaantinus,190,0,190
Zinzi,3,186,189
Zakia,3,186,189
Zoëy,20,167,187
Zhi,119,65,184
Zoetje,0,184,184
Zofia,0,184,184
Zouhair,175,0,175
Zwanet,0,175,175
Zonne,3,171,174
Zinedine,169,3,172
Ziya,138,31,169
Zeinab,0,164,164
Zafer,157,3,160
Zef,154,3,157
Zier,156,0,156
Zen,137,18,155
Zegert,154,0,154
Zev,150,0,150
Züleyha,0,149,149
Zegerina,3,141,144
Zoe,3,139,142
Zwanetta,0,137,137
Zain,131,5,136
Zarina,0,136,136
Zep,136,0,136
Zachary,130,0,130
Zwaantien,0,130,130
Zoran,125,0,125
Zelda,0,124,124
Zaineb,0,122,122
Zaynab,0,120,120
Zeki,112,3,115
Zeth,114,0,114
Zacharia,79,34,113
Zilla,0,113,113
Zena,0,105,105
Zahir,103,3,106
Zoya,0,104,104
Zilan,3,100,103
Ziyad,98,3,101
Zhen,53,48,101
Zeyd,100,0,100
Ziad,100,0,100
Zübeyde,0,99,99
Zidane,96,0,96
Zana,25,70,95
Zane,94,3,97
Zeeger,95,0,95
Zenzi,3,93,96
Zahide,0,94,94
Zaina,0,83,83
Zekiye,0,83,83
Zohair,83,0,83
Zahira,0,81,81
Zia,26,55,81
Zaki,72,7,79
Zaïd,76,3,79
Zeynel,78,0,78
Zahid,71,5,76
Zaza,10,66,76
Zekeriya,73,3,76
Zowie,46,30,76
Zadrach,74,0,74
Zoltán,72,3,75
Zwaantiena,0,74,74
Zine-Eddine,73,0,73
Zweitse,73,0,73
Zayneb,0,72,72
Zanna,3,70,73
Zander,69,3,72
Zoï,3,64,67
